event_id,model_key,model_label,model_id,stage,panel,component,window_type,cc,shift_samples,shift_s,sign,npts
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PZ,Z,pick-based,0.8957050545832939,40,2.0,-,200
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,SZ,Z,pick-based,0.6594396851332169,-17,-0.8500000000000001,-,300
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PR,R,pick-based,0.7870499548552357,-39,-1.9500000000000002,+,200
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,ST,T,pick-based,0.6538163050980706,98,4.9,+,300
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,PZ,Z,pick-based,0.8796440021079885,40,2.0,-,200
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,SZ,Z,pick-based,0.10941536919144065,95,4.75,+,300
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,PR,R,pick-based,0.8006984866771197,-54,-2.7,-,200
S1094b,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,ST,T,pick-based,0.5374796308741367,-92,-4.6000000000000005,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,raw,PZ,Z,pick-based,0.8155136997153482,2,0.1,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,raw,SZ,Z,pick-based,0.4863592781659628,20,1.0,+,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,raw,PR,R,pick-based,0.7267664354503592,-14,-0.7000000000000001,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,raw,ST,T,pick-based,0.24889727782626658,-23,-1.1500000000000001,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_05,PZ,Z,pick-based,0.5505363550118626,65,3.25,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_05,SZ,Z,pick-based,0.3280973484376049,12,0.6000000000000001,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_05,PR,R,pick-based,0.6400329427005611,43,2.15,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_05,ST,T,pick-based,0.16606735802534847,100,5.0,+,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_08,PZ,Z,pick-based,0.8840464708108221,17,0.8500000000000001,+,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_08,SZ,Z,pick-based,0.26055910064129606,95,4.75,+,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_08,PR,R,pick-based,0.6002410238336584,14,0.7000000000000001,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_01_08,ST,T,pick-based,0.19375562536398241,-23,-1.1500000000000001,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09,PZ,Z,pick-based,0.8610968305942907,17,0.8500000000000001,+,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09,SZ,Z,pick-based,0.5553705507873767,7,0.35000000000000003,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09,PR,R,pick-based,0.6906711117747686,13,0.65,-,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09,ST,T,pick-based,0.7596597664932737,-23,-1.1500000000000001,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09_pol,PZ,Z,pick-based,0.8719650453679751,17,0.8500000000000001,+,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09_pol,SZ,Z,pick-based,0.12542312731167962,5,0.25,-,300
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09_pol,PR,R,pick-based,0.6710834427988299,-28,-1.4000000000000001,+,200
S1094b,EventBest,Event best (Geophysical_model319),Geophysical_model319,bp_03_09_pol,ST,T,pick-based,0.725615529049368,-8,-0.4,+,300
S0185a,X,Model X,X,raw,PZ,Z,pick-based,0.7234027359988154,-35,-1.75,-,200
S0185a,X,Model X,X,raw,SZ,Z,pick-based,0.5081419631152446,-34,-1.7000000000000002,+,300
S0185a,X,Model X,X,raw,PR,R,pick-based,0.16804993299938692,-44,-2.2,+,200
S0185a,X,Model X,X,raw,ST,T,pick-based,0.19081651750588063,-20,-1.0,+,300
S0185a,X,Model X,X,bp_01_05,PZ,Z,pick-based,0.2203825186678301,-74,-3.7,-,200
S0185a,X,Model X,X,bp_01_05,SZ,Z,pick-based,0.3774875034756769,81,4.05,+,300
S0185a,X,Model X,X,bp_01_05,PR,R,pick-based,0.19586627553345864,-30,-1.5,+,200
S0185a,X,Model X,X,bp_01_05,ST,T,pick-based,0.05889616178402808,-100,-5.0,-,300
S0185a,X,Model X,X,bp_01_08,PZ,Z,pick-based,0.6826706901779881,-20,-1.0,+,200
S0185a,X,Model X,X,bp_01_08,SZ,Z,pick-based,0.45999172534334476,97,4.8500000000000005,+,300
S0185a,X,Model X,X,bp_01_08,PR,R,pick-based,0.1401194317231114,100,5.0,-,200
S0185a,X,Model X,X,bp_01_08,ST,T,pick-based,0.1445053337416515,-52,-2.6,+,300
S0185a,X,Model X,X,bp_03_09,PZ,Z,pick-based,0.9373468726964949,-35,-1.75,-,200
S0185a,X,Model X,X,bp_03_09,SZ,Z,pick-based,0.4932975737705872,-34,-1.7000000000000002,+,300
S0185a,X,Model X,X,bp_03_09,PR,R,pick-based,0.1758303169422837,19,0.9500000000000001,-,200
S0185a,X,Model X,X,bp_03_09,ST,T,pick-based,0.609375988401866,-20,-1.0,+,300
S0185a,X,Model X,X,bp_03_09_pol,PZ,Z,pick-based,0.8951908376958987,-35,-1.75,-,200
S0185a,X,Model X,X,bp_03_09_pol,SZ,Z,pick-based,0.4430905140181678,-65,-3.25,+,300
S0185a,X,Model X,X,bp_03_09_pol,PR,R,pick-based,0.04295871171485664,-92,-4.6000000000000005,-,200
S0185a,X,Model X,X,bp_03_09_pol,ST,T,pick-based,0.5559734727192598,-37,-1.85,-,300
S0185a,TAYAK,TAYAK,TAYAK,raw,PZ,Z,pick-based,0.17684129973112475,-22,-1.1,+,200
S0185a,TAYAK,TAYAK,TAYAK,raw,SZ,Z,pick-based,0.3215969763461322,36,1.8,+,300
S0185a,TAYAK,TAYAK,TAYAK,raw,PR,R,pick-based,0.3928133635952891,96,4.800000000000001,+,200
S0185a,TAYAK,TAYAK,TAYAK,raw,ST,T,pick-based,0.1779871650697947,-90,-4.5,+,300
S0185a,TAYAK,TAYAK,TAYAK,bp_01_05,PZ,Z,pick-based,0.1261704942681079,58,2.9000000000000004,+,200
S0185a,TAYAK,TAYAK,TAYAK,bp_01_05,SZ,Z,pick-based,0.13728387191700342,-31,-1.55,-,300
S0185a,TAYAK,TAYAK,TAYAK,bp_01_05,PR,R,pick-based,0.16293397898837994,-70,-3.5,-,200
S0185a,TAYAK,TAYAK,TAYAK,bp_01_05,ST,T,pick-based,0.09282252085791036,73,3.6500000000000004,-,300
S0185a,TAYAK,TAYAK,TAYAK,bp_01_08,PZ,Z,pick-based,0.17692043914837333,-38,-1.9000000000000001,-,200
S0185a,TAYAK,TAYAK,TAYAK,bp_01_08,SZ,Z,pick-based,0.31520413233104255,35,1.75,+,300
S0185a,TAYAK,TAYAK,TAYAK,bp_01_08,PR,R,pick-based,0.486906362551353,96,4.800000000000001,+,200
S0185a,TAYAK,TAYAK,TAYAK,bp_01_08,ST,T,pick-based,0.17339825143609497,-73,-3.6500000000000004,-,300
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09,PZ,Z,pick-based,0.9071384809447615,-37,-1.85,-,200
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09,SZ,Z,pick-based,0.5369258753556364,51,2.5500000000000003,-,300
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09,PR,R,pick-based,0.5567661353083944,96,4.800000000000001,+,200
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09,ST,T,pick-based,0.6401035231963446,-90,-4.5,+,300
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09_pol,PZ,Z,pick-based,0.9123746391882045,-37,-1.85,-,200
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09_pol,SZ,Z,pick-based,0.583471355156664,-61,-3.0500000000000003,-,300
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09_pol,PR,R,pick-based,0.048252350383414085,95,4.75,+,200
S0185a,TAYAK,TAYAK,TAYAK,bp_03_09_pol,ST,T,pick-based,0.736517602516826,-90,-4.5,+,300
