event_id,model_key,stage,panel,mean_cc,median_cc,mean_abs_shift_s,n_panels
S0133a,Best17,bp_01_05,PR,0.2756912832481302,0.2756912832481302,4.65,1
S0133a,Best17,bp_01_05,PZ,0.6648105823724807,0.6648105823724807,3.2,1
S0133a,Best17,bp_01_05,ST,0.17790871242829592,0.17790871242829592,1.9500000000000002,1
S0133a,Best17,bp_01_05,SZ,0.19137425070631173,0.19137425070631173,4.3500000000000005,1
S0133a,Best17,bp_01_08,PR,0.208509284402878,0.208509284402878,5.0,1
S0133a,Best17,bp_01_08,PZ,0.8200396864400508,0.8200396864400508,3.6500000000000004,1
S0133a,Best17,bp_01_08,ST,0.28383913065368227,0.28383913065368227,0.25,1
S0133a,Best17,bp_01_08,SZ,0.558772465765377,0.558772465765377,4.8500000000000005,1
S0133a,Best17,bp_03_09,PR,0.7651780733531014,0.7651780733531014,0.25,1
S0133a,Best17,bp_03_09,PZ,0.710284985905857,0.710284985905857,2.85,1
S0133a,Best17,bp_03_09,ST,0.4368380115397493,0.4368380115397493,1.05,1
S0133a,Best17,bp_03_09,SZ,0.601645743191131,0.601645743191131,4.1000000000000005,1
S0133a,Best17,bp_03_09_pol,PR,0.4950096176197717,0.4950096176197717,0.15000000000000002,1
S0133a,Best17,bp_03_09_pol,PZ,0.5462849425905806,0.5462849425905806,2.85,1
S0133a,Best17,bp_03_09_pol,ST,0.046674739397446985,0.046674739397446985,4.95,1
S0133a,Best17,bp_03_09_pol,SZ,0.38987360091187045,0.38987360091187045,4.800000000000001,1
S0133a,Best17,raw,PR,0.20408136583150924,0.20408136583150924,5.0,1
S0133a,Best17,raw,PZ,0.5960530818084107,0.5960530818084107,2.0500000000000003,1
S0133a,Best17,raw,ST,0.27455651460699093,0.27455651460699093,0.30000000000000004,1
S0133a,Best17,raw,SZ,0.5717034613087135,0.5717034613087135,4.1000000000000005,1
S0133a,EventBest,bp_01_05,PR,0.29779001647964226,0.29779001647964226,4.55,1
S0133a,EventBest,bp_01_05,PZ,0.7820391471576608,0.7820391471576608,4.55,1
S0133a,EventBest,bp_01_05,ST,0.15532181313939142,0.15532181313939142,0.25,1
S0133a,EventBest,bp_01_05,SZ,0.1682634788751292,0.1682634788751292,4.8500000000000005,1
S0133a,EventBest,bp_01_08,PR,0.2659860891445124,0.2659860891445124,4.2,1
S0133a,EventBest,bp_01_08,PZ,0.7748509438986901,0.7748509438986901,4.75,1
S0133a,EventBest,bp_01_08,ST,0.23484347274246295,0.23484347274246295,0.15000000000000002,1
S0133a,EventBest,bp_01_08,SZ,0.4532585358826826,0.4532585358826826,1.5,1
S0133a,EventBest,bp_03_09,PR,0.41966962638390565,0.41966962638390565,4.8500000000000005,1
S0133a,EventBest,bp_03_09,PZ,0.7431546361669686,0.7431546361669686,4.800000000000001,1
S0133a,EventBest,bp_03_09,ST,0.7044546147663598,0.7044546147663598,0.2,1
S0133a,EventBest,bp_03_09,SZ,0.6679594238976675,0.6679594238976675,2.15,1
S0133a,EventBest,bp_03_09_pol,PR,0.5203573091966013,0.5203573091966013,1.0,1
S0133a,EventBest,bp_03_09_pol,PZ,0.5561397719212614,0.5561397719212614,4.0,1
S0133a,EventBest,bp_03_09_pol,ST,0.7752388730077885,0.7752388730077885,5.0,1
S0133a,EventBest,bp_03_09_pol,SZ,0.5644810800558303,0.5644810800558303,1.5,1
S0133a,EventBest,raw,PR,0.21454230369180954,0.21454230369180954,4.3,1
S0133a,EventBest,raw,PZ,0.6338649764025864,0.6338649764025864,4.7,1
