theta,event,cost
"[6.455718046955408, 8.984525216979462, 3.3715743704323944, 5.4164051275278355, 1017.9678881726296, 143.69095909606256, 1616.2302125346332]",S0185a,1.2962340197587943
"[6.859788310710318, 6.936141963985161, 4.1939486056869875, 4.889450158608239, 1064.014697219991, 65.13482890135619, 1531.426354345333]",S0185a,1.2962340197587943
"[8.971376294205694, 8.489703543956898, 4.292266172858056, 5.202523674467534, 935.8667387634883, 128.39141630124246, 1603.2141373769707]",S0185a,1.2962340197587943
"[6.015484361563196, 6.101468766026329, 4.356685548324784, 4.5265601396575095, 1039.7688065133284, 28.35193779334835, 1534.8861405786192]",S0185a,1.2962340197587943
