event_id,phase,official_group,official_used,plotted_component,window_type,sign,shift_samples,shift_s,official_cc,plotted_group_cc,official_misfit,plotted_group_misfit,abs_difference,match_official,window_start_s,window_end_s,component_mode,best_model_id,npz_time_key,npz_observed_key,npz_synthetic_before_shift_key,npz_synthetic_aligned_key
S0395a,S,R,R,R,pick-based,-,-68,-3.4000000000000004,0.45333697743066315,0.45333697743066315,0.5466630225693369,0.5466630225693369,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0395a_S_time_s,S0395a_S_observed_norm,S0395a_S_synthetic_before_shift_norm,S0395a_S_synthetic_aligned_norm
S0345a,P,Z,Z,Z,pick-based,-,-18,-0.9,0.6276401275375061,0.6276401275375061,0.3723598724624939,0.3723598724624939,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0345a_P_time_s,S0345a_P_observed_norm,S0345a_P_synthetic_before_shift_norm,S0345a_P_synthetic_aligned_norm
S0345a,S,R,R,R,pick-based,-,89,4.45,0.3635804395095924,0.3635804395095924,0.6364195604904076,0.6364195604904076,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0345a_S_time_s,S0345a_S_observed_norm,S0345a_S_synthetic_before_shift_norm,S0345a_S_synthetic_aligned_norm
S0421b,P,Z,Z,Z,pick-based,-,-80,-4.0,0.3247272669157969,0.3247272669157969,0.6752727330842031,0.6752727330842031,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0421b_P_time_s,S0421b_P_observed_norm,S0421b_P_synthetic_before_shift_norm,S0421b_P_synthetic_aligned_norm
S0421b,S,R,R,R,pick-based,+,-83,-4.15,0.6532277854498199,0.6532277854498199,0.34677221455018015,0.34677221455018015,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0421b_S_time_s,S0421b_S_observed_norm,S0421b_S_synthetic_before_shift_norm,S0421b_S_synthetic_aligned_norm
S0226b,P,Z,Z,Z,pick-based,-,-74,-3.7,0.2407580136903121,0.2407580136903121,0.7592419863096879,0.7592419863096879,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0226b_P_time_s,S0226b_P_observed_norm,S0226b_P_synthetic_before_shift_norm,S0226b_P_synthetic_aligned_norm
S0226b,S,R,R,R,pick-based,+,99,4.95,0.909031722911038,0.909031722911038,0.09096827708896205,0.09096827708896205,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0226b_S_time_s,S0226b_S_observed_norm,S0226b_S_synthetic_before_shift_norm,S0226b_S_synthetic_aligned_norm
S0167a,P,Z,Z,Z,pick-based,+,-66,-3.3000000000000003,0.46263137730408044,0.46263137730408044,0.5373686226959196,0.5373686226959196,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0167a_P_time_s,S0167a_P_observed_norm,S0167a_P_synthetic_before_shift_norm,S0167a_P_synthetic_aligned_norm
S0167a,S,R,R,R,pick-based,-,-97,-4.8500000000000005,0.22550397052183963,0.22550397052183963,0.7744960294781604,0.7744960294781604,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0167a_S_time_s,S0167a_S_observed_norm,S0167a_S_synthetic_before_shift_norm,S0167a_S_synthetic_aligned_norm
S0152a,P,Z,Z,Z,pick-based,-,21,1.05,0.8382691443535899,0.8382691443535899,0.1617308556464101,0.1617308556464101,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0152a_P_time_s,S0152a_P_observed_norm,S0152a_P_synthetic_before_shift_norm,S0152a_P_synthetic_aligned_norm
S0152a,S,T,T,T,pick-based,-,-91,-4.55,0.6563174544393393,0.6563174544393393,0.3436825455606607,0.3436825455606607,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0152a_S_time_s,S0152a_S_observed_norm,S0152a_S_synthetic_before_shift_norm,S0152a_S_synthetic_aligned_norm
S1000a,P,Z,Z,Z,pick-based,-,41,2.0500000000000003,0.384554543298341,0.384554543298341,0.615445456701659,0.615445456701659,0.0,True,-5.0,5.0,paper,Geophysical_model298,S1000a_P_time_s,S1000a_P_observed_norm,S1000a_P_synthetic_before_shift_norm,S1000a_P_synthetic_aligned_norm
S1000a,S,T,T,T,pick-based,-,59,2.95,0.597652080255897,0.597652080255897,0.402347919744103,0.402347919744103,0.0,True,-5.0,10.0,paper,Geophysical_model298,S1000a_S_time_s,S1000a_S_observed_norm,S1000a_S_synthetic_before_shift_norm,S1000a_S_synthetic_aligned_norm
S0976a,P,Z,Z,Z,pick-based,+,-11,-0.55,0.5493847030586528,0.5493847030586528,0.45061529694134717,0.45061529694134717,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0976a_P_time_s,S0976a_P_observed_norm,S0976a_P_synthetic_before_shift_norm,S0976a_P_synthetic_aligned_norm
S0976a,S,T,T,T,pick-based,-,50,2.5,0.8183871256999116,0.8183871256999116,0.18161287430008843,0.18161287430008843,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0976a_S_time_s,S0976a_S_observed_norm,S0976a_S_synthetic_before_shift_norm,S0976a_S_synthetic_aligned_norm
