event_id,phase,event_best_model_id,event_best_source_path,source_basename,official_group,official_used,plotted_component,sign,shift_samples,shift_s,official_cc,plotted_group_cc,official_misfit,plotted_group_misfit,abs_difference_plot_vs_official,match_official,summary_misfit,abs_difference_summary_vs_recomputed,summary_total_misfit,window_start_s,window_end_s,component_mode
S1094b,P,Geophysical_model319,/home/lyara/areswave/models/Geophysical_model319.nd,Geophysical_model319.nd,Z,Z,Z,-,2,0.1,0.8155136997153482,0.8155136997153482,0.18448630028465185,0.18448630028465185,0.0,True,0.16182545288353245,0.0226608474011194,0.2584838645863571,-5.0,5.0,paper
S1094b,S,Geophysical_model319,/home/lyara/areswave/models/Geophysical_model319.nd,Geophysical_model319.nd,R,R,R,+,-7,-0.35000000000000003,0.3975311821186637,0.3975311821186637,0.6024688178813363,0.6024688178813363,0.0,True,0.3068130704377694,0.29565574744356693,0.2584838645863571,-5.0,10.0,paper
S0185a,P,MD_model78,/home/lyara/areswave/models/MD_model78.nd,MD_model78.nd,Z,Z,Z,+,14,0.7000000000000001,0.553735158091518,0.553735158091518,0.44626484190848204,0.44626484190848204,0.0,True,0.32800858732286886,0.11825625458561317,0.4075156910945705,-5.0,5.0,paper
S0185a,S,MD_model78,/home/lyara/areswave/models/MD_model78.nd,MD_model78.nd,R,R,R,-,-15,-0.75,0.3383067929846869,0.3383067929846869,0.6616932070153131,0.6616932070153131,0.0,True,0.44726924298042126,0.21442396403489183,0.4075156910945705,-5.0,10.0,paper
S0234c,P,Geophysical_model979,/home/lyara/areswave/models/Geophysical_model979.nd,Geophysical_model979.nd,Z,Z,Z,-,28,1.4000000000000001,0.625079860338722,0.625079860338722,0.374920139661278,0.374920139661278,0.0,True,0.501908068783437,0.12698792912215895,0.264469011224786,-5.0,5.0,paper
S0234c,S,Geophysical_model979,/home/lyara/areswave/models/Geophysical_model979.nd,Geophysical_model979.nd,R,R,R,+,-6,-0.30000000000000004,0.30747355590943914,0.30747355590943914,0.6925264440905609,0.6925264440905609,0.0,True,0.145749482445461,0.5467769616450999,0.264469011224786,-5.0,10.0,paper
S0167b,P,MD_model37,/home/lyara/areswave/models/MD_model37.nd,MD_model37.nd,Z,Z,Z,+,77,3.85,0.6330746644078481,0.6330746644078481,0.3669253355921519,0.3669253355921519,0.0,True,0.425276764455167,0.05835142886301509,0.281877833291984,-5.0,5.0,paper
S0167b,S,MD_model37,/home/lyara/areswave/models/MD_model37.nd,MD_model37.nd,R,R,R,+,-22,-1.1,0.7947639581396134,0.7947639581396134,0.20523604186038658,0.20523604186038658,0.0,True,0.210178367710393,0.004942325850006424,0.281877833291984,-5.0,10.0,paper
S1102a,P,Geophysical_model58,/home/lyara/areswave/models/Geophysical_model58.nd,Geophysical_model58.nd,Z,Z,Z,+,31,1.55,0.7927444954879266,0.7927444954879266,0.20725550451207342,0.20725550451207342,0.0,True,0.21364046599052922,0.006384961478455797,0.36265214295162035,-5.0,5.0,paper
S1102a,S,Geophysical_model58,/home/lyara/areswave/models/Geophysical_model58.nd,Geophysical_model58.nd,R,R,R,+,-76,-3.8000000000000003,0.7957797918602342,0.7957797918602342,0.20422020813976582,0.20422020813976582,0.0,True,0.437157981432166,0.23293777329240017,0.36265214295162035,-5.0,10.0,paper
S1153a,P,Geophysical_model489,/home/lyara/areswave/models/Geophysical_model489.nd,Geophysical_model489.nd,Z,Z,Z,+,11,0.55,0.6083528189312855,0.6083528189312855,0.39164718106871454,0.39164718106871454,0.0,True,0.5096684910973643,0.1180213100286498,0.386518357712151,-5.0,5.0,paper
S1153a,S,Geophysical_model489,/home/lyara/areswave/models/Geophysical_model489.nd,Geophysical_model489.nd,R,R,R,+,-7,-0.35000000000000003,0.7668474270224483,0.7668474270224483,0.23315257297755165,0.23315257297755165,0.0,True,0.32494329101954433,0.09179071804199268,0.386518357712151,-5.0,10.0,paper
