model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
MD_model78,/home/lyara/areswave/models/MD_model78.nd,nd,UNK,,,1001.327,60.0,824.502,10.40199999999993,1001.327,60.0,1136.547,166.42399999999998,1302.971,166.42399999999998,1591.73,60.0,0.32800858732286886,0.44726924298042126,0.4075156910945705,0.6719914126771311,0.5527307570195787,1
AK_model_63,/home/lyara/areswave/models/AK_model_63.nd,nd,UNK,,,996.13,60.0,793.624,25.313999999999965,996.13,60.0,1122.696,75.94000000000005,1325.202,75.93900000000008,1684.197,60.0,0.5209891499527552,0.5049784157652386,0.5103153271610775,0.47901085004724475,0.49502158423476145,1
MD_model16,/home/lyara/areswave/models/MD_model16.nd,nd,UNK,,,999.038,60.0,820.271,10.515999999999963,999.038,60.0,1146.258,94.64100000000008,1346.056,189.28300000000013,1605.327,60.0,0.12274979277170961,0.7066083490364151,0.5119888302815133,0.8772502072282904,0.2933916509635849,1
CD_model82,/home/lyara/areswave/models/CD_model82.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.21299511161234164,0.681313047320798,0.5252070687513125,0.7870048883876584,0.31868695267920205,1
CD_model36,/home/lyara/areswave/models/CD_model36.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.21299511161234164,0.681313047320798,0.5252070687513125,0.7870048883876584,0.31868695267920205,1
CD_model31,/home/lyara/areswave/models/CD_model31.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.2834873116302097,0.6760581549232472,0.5452012071589013,0.7165126883697903,0.3239418450767528,1
CD_model70,/home/lyara/areswave/models/CD_model70.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.26638041083207653,0.717757425394849,0.5672984205405914,0.7336195891679235,0.282242574605151,1
CD_model98,/home/lyara/areswave/models/CD_model98.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.2161913984777475,0.7486659201797768,0.5711744129457671,0.7838086015222525,0.25133407982022316,1
CD_model44,/home/lyara/areswave/models/CD_model44.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.36364274442859224,0.679482079761415,0.5742023013171407,0.6363572555714078,0.3205179202385851,1
AK_model_30,/home/lyara/areswave/models/AK_model_30.nd,nd,UNK,,,1083.305,60.0,820.426,26.28800000000001,1083.305,60.0,1293.608,52.57600000000002,1319.896,52.57600000000002,1687.417,60.0,0.6223689457842483,0.5652358392882013,0.584280208120217,0.37763105421575177,0.4347641607117987,1
