model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model277,/home/lyara/areswave/models/Geophysical_model277.nd,nd,UNK,,,1099.994,60.0,900.0,181.19100000000003,1099.994,60.0,1116.66,16.66599999999994,1449.983,99.99699999999984,1681.374,60.0,0.3906100232206333,0.31694724318358325,0.34150150319593325,0.6093899767793667,0.6830527568164168,1
Geophysical_model410,/home/lyara/areswave/models/Geophysical_model410.nd,nd,UNK,,,1099.994,60.0,900.0,181.19100000000003,1099.994,60.0,1116.66,16.66599999999994,1449.983,99.99699999999984,1681.374,60.0,0.3906100232206333,0.31694724318358325,0.34150150319593325,0.6093899767793667,0.6830527568164168,1
Geophysical_model399,/home/lyara/areswave/models/Geophysical_model399.nd,nd,UNK,,,1098.226,60.0,900.0,179.57600000000002,1098.226,60.0,1114.745,16.519000000000005,1445.122,99.11300000000006,1676.04,60.0,0.41902940659193777,0.3338256303171423,0.36222688907540745,0.5809705934080622,0.6661743696828577,1
Geophysical_model900,/home/lyara/areswave/models/Geophysical_model900.nd,nd,UNK,,,916.728,60.0,875.978,192.17600000000004,916.728,60.0,1117.467,33.455999999999904,1485.488,83.64100000000008,1683.622,60.0,0.37149557670370137,0.37475470081932394,0.37366832611411643,0.6285044232962986,0.6252452991806761,1
AK_model_16,/home/lyara/areswave/models/AK_model_16.nd,nd,UNK,,,1032.613,60.0,811.315,24.588999999999942,1032.613,60.0,1278.5,73.76600000000008,1303.088,24.588999999999942,1680.441,60.0,0.3994004610005285,0.36179628520250684,0.3743310104685141,0.6005995389994715,0.6382037147974932,1
Geophysical_model518,/home/lyara/areswave/models/Geophysical_model518.nd,nd,UNK,,,950.781,60.0,900.0,184.07600000000002,950.781,60.0,1136.977,33.85400000000004,1492.442,67.70700000000011,1690.818,60.0,0.34714769037954063,0.38803964607483665,0.3744089941764046,0.6528523096204594,0.6119603539251633,1
Geophysical_model9,/home/lyara/areswave/models/Geophysical_model9.nd,nd,UNK,,,949.517,60.0,900.0,192.452,949.517,60.0,1114.574,16.505999999999858,1444.688,115.53999999999996,1675.563,60.0,0.3848939501688212,0.3752616314785272,0.37847240437529184,0.6151060498311788,0.6247383685214728,1
AK_model_19,/home/lyara/areswave/models/AK_model_19.nd,nd,UNK,,,1045.493,60.0,811.971,25.947000000000003,1045.493,60.0,1279.016,25.947000000000116,1330.909,51.89300000000003,1670.7,60.0,0.4378072838393555,0.35191588676082464,0.3805463524536683,0.5621927161606445,0.6480841132391754,1
Geophysical_model428,/home/lyara/areswave/models/Geophysical_model428.nd,nd,UNK,,,966.066,60.0,900.0,192.77999999999997,966.066,60.0,1114.715,16.516000000000076,1461.562,99.09899999999993,1675.956,60.0,0.492035507262812,0.3322547685560756,0.3855150147916544,0.507964492737188,0.6677452314439244,1
AK_model_67,/home/lyara/areswave/models/AK_model_67.nd,nd,UNK,,,1034.55,60.0,885.984,24.75999999999999,1034.55,60.0,1158.354,99.04399999999987,1381.202,99.04299999999989,1662.605,60.0,0.3596586942286172,0.40122337665274166,0.3873684825113668,0.6403413057713828,0.5987766233472583,1
Geophysical_model862,/home/lyara/areswave/models/Geophysical_model862.nd,nd,UNK,,,916.702,60.0,877.518,179.85699999999997,916.702,60.0,1117.126,33.403999999999996,1484.569,83.50999999999999,1682.671,60.0,0.32247739434292233,0.4393515833769315,0.4003935203655951,0.6775226056570777,0.5606484166230685,1
Geophysical_model97,/home/lyara/areswave/models/Geophysical_model97.nd,nd,UNK,,,983.19,60.0,878.419,194.22500000000002,983.19,60.0,1116.294,16.63799999999992,1465.692,116.46600000000012,1680.354,60.0,0.46430206739873214,0.37026339471917835,0.4016096189456963,0.5356979326012679,0.6297366052808216,1
Geophysical_model618,/home/lyara/areswave/models/Geophysical_model618.nd,nd,UNK,,,933.862,60.0,900.0,186.58500000000004,933.862,60.0,1120.105,33.86200000000008,1492.59,84.65599999999995,1690.97,60.0,0.4312587932314812,0.3924127673208576,0.4053614426243988,0.5687412067685188,0.6075872326791424,1
