model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model36,/home/lyara/areswave/models/Geophysical_model36.nd,nd,UNK,,,1049.308,60,900,180.2,1049.308,60,1132.256,33.179,1497.231,82.949,1678.607,60,0.775835436,0.349224022,0.491427827,0.224164564,0.650775978,1
Geophysical_model138,/home/lyara/areswave/models/Geophysical_model138.nd,nd,UNK,,,982.921,60,900,196.419,982.921,60,1115.594,16.584,1463.861,116.089,1678.405,60,0.649134757,0.413841998,0.492272918,0.350865243,0.586158002,1
Geophysical_model673,/home/lyara/areswave/models/Geophysical_model673.nd,nd,UNK,,,900,60,900,180.989,900,60,1118.976,33.689,1489.55,101.066,1687.825,60,0.610176212,0.433369795,0.492305267,0.389823788,0.566630205,1
AK_model_12,/home/lyara/areswave/models/AK_model_12.nd,nd,UNK,,,1035.663,60,813.003,24.74,1035.663,60,1283.062,74.22,1307.802,24.74,1686.223,60,0.625618943,0.4257613,0.492380514,0.374381057,0.5742387,1
AK_model_81,/home/lyara/areswave/models/AK_model_81.nd,nd,UNK,,,1048.351,60,819.977,25.375,1048.351,60,1276.724,50.749,1327.474,50.75,1686.823,60,0.259005075,0.609855746,0.492905523,0.740994925,0.390144254,1
Geophysical_model790,/home/lyara/areswave/models/Geophysical_model790.nd,nd,UNK,,,900,60,900,197.837,900,60,1104.416,17.035,1479.179,102.208,1694.72,60,0.599883449,0.439669362,0.493074057,0.400116551,0.560330638,1
Geophysical_model700,/home/lyara/areswave/models/Geophysical_model700.nd,nd,UNK,,,916.847,60,879.958,180.374,916.847,60,1119.005,33.693,1489.628,84.233,1687.906,60,0.371559796,0.554461548,0.493494297,0.628440204,0.445538452,1
Geophysical_model1,/home/lyara/areswave/models/Geophysical_model1.nd,nd,UNK,,,1033.278,60,900,182.554,1033.278,60,1133.237,33.32,1483.093,83.299,1681.144,60,0.721412685,0.379752898,0.493639494,0.278587315,0.620247102,1
Geophysical_model2,/home/lyara/areswave/models/Geophysical_model2.nd,nd,UNK,,,1033.278,60,900,182.554,1033.278,60,1133.237,33.32,1483.093,83.299,1681.144,60,0.721412685,0.379752898,0.493639494,0.278587315,0.620247102,1
Geophysical_model746,/home/lyara/areswave/models/Geophysical_model746.nd,nd,UNK,,,966.806,60,900,177.866,966.806,60,1133.823,33.403,1484.557,66.807,1682.659,60,0.285847821,0.597598139,0.493681366,0.714152179,0.402401861,1
Geophysical_model594,/home/lyara/areswave/models/Geophysical_model594.nd,nd,UNK,,,900,60,900,179.42,900,60,1118.565,33.625,1488.445,100.876,1686.682,60,0.463332393,0.508994853,0.493774033,0.536667607,0.491005147,1
Geophysical_model557,/home/lyara/areswave/models/Geophysical_model557.nd,nd,UNK,,,916.669,60,877.429,180.568,916.669,60,1116.699,33.338,1483.42,83.346,1681.482,60,0.417866866,0.531757811,0.493794162,0.582133134,0.468242189,1
Geophysical_model699,/home/lyara/areswave/models/Geophysical_model699.nd,nd,UNK,,,900,60,900,179.615,900,60,1118.724,33.65,1488.873,100.949,1687.125,60,0.653576536,0.414267026,0.494036863,0.346423464,0.585732974,1
Geophysical_model535,/home/lyara/areswave/models/Geophysical_model535.nd,nd,UNK,,,950.109,60,900,178.347,950.109,60,1133.844,33.406,1484.609,66.812,1682.713,60,0.720690724,0.380879385,0.494149831,0.279309276,0.619120615,1
Geophysical_model549,/home/lyara/areswave/models/Geophysical_model549.nd,nd,UNK,,,1098.51,60,900,24.053,1098.51,60,1115.052,16.543,1445.902,115.797,1676.896,60,0.447429676,0.518236168,0.494634004,0.552570324,0.481763832,1
CD_model5,/home/lyara/areswave/models/CD_model5.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.192558641,0.646534665,0.495209324,0.807441359,0.353465335,1
Geophysical_model465,/home/lyara/areswave/models/Geophysical_model465.nd,nd,UNK,,,982.905,60,859.324,183.043,982.905,60,1115.552,16.581,1463.752,116.067,1678.288,60,0.573580731,0.456036683,0.495218032,0.426419269,0.543963317,1
Geophysical_model969,/home/lyara/areswave/models/Geophysical_model969.nd,nd,UNK,,,900,60,900,180.861,900,60,1106.104,17.175,1483.961,103.052,1699.813,60,0.423671679,0.532296567,0.496088271,0.576328321,0.467703433,1
Geophysical_model950,/home/lyara/areswave/models/Geophysical_model950.nd,nd,UNK,,,950.057,60,900,199.649,950.057,60,1133.601,33.371,1484.001,66.743,1682.084,60,0.39947436,0.544822441,0.496373081,0.60052564,0.455177559,1
Geophysical_model997,/home/lyara/areswave/models/Geophysical_model997.nd,nd,UNK,,,950.057,60,900,199.649,950.057,60,1133.601,33.371,1484.001,66.743,1682.084,60,0.39947436,0.544822441,0.496373081,0.60052564,0.455177559,1
Geophysical_model846,/home/lyara/areswave/models/Geophysical_model846.nd,nd,UNK,,,916.714,60,900,188.969,916.714,60,1117.284,33.428,1468.281,83.571,1683.113,60,0.617243518,0.436147351,0.49651274,0.382756482,0.563852649,1
Geophysical_model992,/home/lyara/areswave/models/Geophysical_model992.nd,nd,UNK,,,950.127,60,900,199.969,950.127,60,1133.926,50.127,1484.815,66.836,1682.926,60,0.343923704,0.572993938,0.496637194,0.656076296,0.427006062,1
Geophysical_model946,/home/lyara/areswave/models/Geophysical_model946.nd,nd,UNK,,,916.702,60,877.535,179.72,916.702,60,1117.126,33.404,1484.569,83.51,1682.671,60,0.615691987,0.437244918,0.496727274,0.384308013,0.562755082,1
CD_model47,/home/lyara/areswave/models/CD_model47.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.21970737,0.635540043,0.496929152,0.78029263,0.364459957,1
Geophysical_model732,/home/lyara/areswave/models/Geophysical_model732.nd,nd,UNK,,,933.813,60,900,183.29,933.813,60,1119.783,33.813,1491.724,84.532,1690.075,60,0.401061798,0.546100895,0.497754529,0.598938202,0.453899105,1
Geophysical_model439,/home/lyara/areswave/models/Geophysical_model439.nd,nd,UNK,,,1030.76,60,900,188.125,1030.76,60,1128.83,32.69,1488.42,81.725,1669.744,60,0.727864419,0.383225832,0.498105361,0.272135581,0.616774168,1
Geophysical_model945,/home/lyara/areswave/models/Geophysical_model945.nd,nd,UNK,,,916.672,60,900,180.795,916.672,60,1116.738,33.345,1483.524,83.361,1681.59,60,0.663881982,0.415451156,0.498261431,0.336118018,0.584548844,1
Geophysical_model453,/home/lyara/areswave/models/Geophysical_model453.nd,nd,UNK,,,1031.555,60,876.742,186.064,1031.555,60,1130.221,32.889,1475.552,82.221,1673.341,60,0.416701894,0.539067604,0.498279034,0.583298106,0.460932396,1
Geophysical_model642,/home/lyara/areswave/models/Geophysical_model642.nd,nd,UNK,,,1099.713,60,877.292,22.709,1099.713,60,1116.356,16.643,1449.211,99.857,1680.527,60,0.470767328,0.512049035,0.498288466,0.529232672,0.487950965,1
CD_model73,/home/lyara/areswave/models/CD_model73.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.193929247,0.651297775,0.498841599,0.806070753,0.348702225,1
Geophysical_model843,/home/lyara/areswave/models/Geophysical_model843.nd,nd,UNK,,,900,60,900,183.559,900,60,1106.386,17.199,1467.561,85.994,1501.958,68.796,0.879508074,0.308516106,0.498846762,0.120491926,0.691483894,1
maak,/home/lyara/areswave/models/maak.npz,npz,UNK,,,1084.528,60,858.423,180.884,1084.528,60,1174.97,90.442,1401.074,67.832,1695.01,22.61,0.533299632,0.482117865,0.499178454,0.466700368,0.517882135,1
MD_model11,/home/lyara/areswave/models/MD_model11.nd,nd,UNK,,,987.786,60,735.63,10.506,987.786,60,1103.357,10.507,1429.058,84.052,1604.141,60,0.406136904,0.546580021,0.499765649,0.593863096,0.453419979,1
Geophysical_model235,/home/lyara/areswave/models/Geophysical_model235.nd,nd,UNK,,,916.874,60,900,181.138,916.874,60,1102.492,16.874,1439.978,101.246,1688.913,60,0.648384427,0.425537427,0.49981976,0.351615573,0.574462573,1
