model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model48,/home/lyara/areswave/models/CD_model48.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.190016035,0.4138281,0.339224078,0.809983965,0.5861719,1
CD_model49,/home/lyara/areswave/models/CD_model49.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.190016035,0.4138281,0.339224078,0.809983965,0.5861719,1
CD_model78,/home/lyara/areswave/models/CD_model78.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.24359217,0.424021494,0.363878386,0.75640783,0.575978506,1
CD_model80,/home/lyara/areswave/models/CD_model80.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.296236806,0.463785602,0.407936003,0.703763194,0.536214398,1
CD_model100,/home/lyara/areswave/models/CD_model100.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.407205126,0.408579962,0.408121684,0.592794874,0.591420038,1
MD_model34,/home/lyara/areswave/models/MD_model34.nd,nd,UNK,,,1024.891,60,743.373,194.898,1024.891,60,1295.582,21.655,1371.376,75.793,1635.565,60,0.433122858,0.425225382,0.427857874,0.566877142,0.574774618,1
CD_model76,/home/lyara/areswave/models/CD_model76.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.271294046,0.513953965,0.433067325,0.728705954,0.486046035,1
CD_model43,/home/lyara/areswave/models/CD_model43.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.547869238,0.39646943,0.446936032,0.452130762,0.60353057,1
CD_model30,/home/lyara/areswave/models/CD_model30.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.547869238,0.39646943,0.446936032,0.452130762,0.60353057,1
CD_model85,/home/lyara/areswave/models/CD_model85.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.296119668,0.525762823,0.449215105,0.703880332,0.474237177,1
CD_model14,/home/lyara/areswave/models/CD_model14.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.355033655,0.498554007,0.45071389,0.644966345,0.501445993,1
CD_model70,/home/lyara/areswave/models/CD_model70.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.399205351,0.488522402,0.458750052,0.600794649,0.511477598,1
Gudkova,/home/lyara/areswave/models/Gudkova.nd,nd,UNK,,,819.32,60,819.32,307.727,819.32,60,1174.566,16.704,1443.681,39.918,1567.533,90.135,0.529086881,0.426844496,0.460925291,0.470913119,0.573155504,1
CD_model10,/home/lyara/areswave/models/CD_model10.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.342964733,0.520840121,0.461548325,0.657035267,0.479159879,1
CD_model38,/home/lyara/areswave/models/CD_model38.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.266925395,0.582515392,0.477318726,0.733074605,0.417484608,1
MD_model21,/home/lyara/areswave/models/MD_model21.nd,nd,UNK,,,1008.575,60,761.465,182.646,1008.575,60,1298.66,21.488,1373.867,75.207,1615.642,60,0.315047981,0.563208059,0.480488033,0.684952019,0.436791941,1
CD_model29,/home/lyara/areswave/models/CD_model29.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.265434954,0.593937441,0.484436612,0.734565046,0.406062559,1
CD_model92,/home/lyara/areswave/models/CD_model92.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.373189917,0.542251723,0.485897788,0.626810083,0.457748277,1
CD_model19,/home/lyara/areswave/models/CD_model19.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.344892567,0.561444597,0.489260587,0.655107433,0.438555403,1
Geophysical_model44,/home/lyara/areswave/models/Geophysical_model44.nd,nd,UNK,,,983.376,60,857.898,189.46,983.376,60,1116.777,33.35,1466.955,100.051,1681.7,60,0.503870276,0.482826372,0.489841007,0.496129724,0.517173628,1
MD_model8,/home/lyara/areswave/models/MD_model8.nd,nd,UNK,,,1001.915,60,793.775,10.407,1001.915,60,1241.276,145.698,1449.416,187.326,1592.569,60,0.6127186,0.42934778,0.490471387,0.3872814,0.57065222,1
CD_model61,/home/lyara/areswave/models/CD_model61.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.36883601,0.551775379,0.490795589,0.63116399,0.448224621,1
Geophysical_model137,/home/lyara/areswave/models/Geophysical_model137.nd,nd,UNK,,,966.251,60,900,186.972,966.251,60,1115.315,16.563,1463.132,99.376,1677.628,60,0.49086457,0.498750458,0.496121829,0.50913543,0.501249542,1
CD_model81,/home/lyara/areswave/models/CD_model81.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.262831126,0.614039077,0.49696976,0.737168874,0.385960923,1
CD_model72,/home/lyara/areswave/models/CD_model72.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.306918394,0.604349724,0.505205947,0.693081606,0.395650276,1
