model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model776,/home/lyara/areswave/models/Geophysical_model776.nd,nd,UNK,,,916.728,60,900,193.209,916.728,60,1117.459,33.456,1468.739,83.638,1683.6,60,0.400045766,0.235009475,0.290021572,0.599954234,0.764990525,1
CD_model88,/home/lyara/areswave/models/CD_model88.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.488645772,0.201226891,0.297033185,0.511354228,0.798773109,1
Geophysical_model678,/home/lyara/areswave/models/Geophysical_model678.nd,nd,UNK,,,916.693,60,877.488,180.095,916.693,60,1117.015,33.386,1484.271,83.467,1682.363,60,0.401720542,0.26218622,0.308697661,0.598279458,0.73781378,1
Geophysical_model915,/home/lyara/areswave/models/Geophysical_model915.nd,nd,UNK,,,950.085,60,900,182.607,950.085,60,1133.728,33.39,1484.32,66.779,1682.414,60,0.406089559,0.267858056,0.313935224,0.593910441,0.732141944,1
Geophysical_model560,/home/lyara/areswave/models/Geophysical_model560.nd,nd,UNK,,,1099.489,60,900,21.346,1099.489,60,1116.113,16.624,1465.218,99.745,1679.849,60,0.469686638,0.240738112,0.317054287,0.530313362,0.759261888,1
Geophysical_model693,/home/lyara/areswave/models/Geophysical_model693.nd,nd,UNK,,,916.721,60,876.007,191.944,916.721,60,1117.378,33.443,1485.25,83.608,1683.376,60,0.422251104,0.266243297,0.318245899,0.577748896,0.733756703,1
Geophysical_model501,/home/lyara/areswave/models/Geophysical_model501.nd,nd,UNK,,,916.672,60,900,180.688,916.672,60,1116.741,33.345,1483.532,83.362,1681.599,60,0.405543489,0.28115795,0.322619796,0.594456511,0.71884205,1
Geophysical_model539,/home/lyara/areswave/models/Geophysical_model539.nd,nd,UNK,,,950.085,60,900,183.344,950.085,60,1133.728,33.39,1484.32,66.779,1682.414,60,0.379549456,0.296474461,0.324166126,0.620450544,0.703525539,1
Geophysical_model947,/home/lyara/areswave/models/Geophysical_model947.nd,nd,UNK,,,966.806,60,900,177.404,966.806,60,1133.823,33.403,1484.557,66.807,1682.659,60,0.501476706,0.239887339,0.327083795,0.498523294,0.760112661,1
AK_model_79,/home/lyara/areswave/models/AK_model_79.nd,nd,UNK,,,1048.231,60,820.541,25.299,1048.231,60,1275.921,50.598,1326.519,50.598,1685.301,60,0.594955978,0.195587062,0.328710034,0.405044022,0.804412938,1
Geophysical_model273,/home/lyara/areswave/models/Geophysical_model273.nd,nd,UNK,,,950.621,60,900,192.233,950.621,60,1119.357,33.747,1456.828,101.242,1688.886,60,0.729155282,0.128630656,0.328805531,0.270844718,0.871369344,1
Geophysical_model652,/home/lyara/areswave/models/Geophysical_model652.nd,nd,UNK,,,900,60,900,180.042,900,60,1101.507,33.585,1470.937,100.753,1685.941,60,0.473987392,0.26551508,0.335005851,0.526012608,0.73448492,1
Geophysical_model689,/home/lyara/areswave/models/Geophysical_model689.nd,nd,UNK,,,949.989,60,900,178.211,949.989,60,1116.619,16.663,1499.867,83.315,1681.259,60,0.413185208,0.296771331,0.335575956,0.586814792,0.703228669,1
CD_model61,/home/lyara/areswave/models/CD_model61.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.357764682,0.332774203,0.341104363,0.642235318,0.667225797,1
Geophysical_model572,/home/lyara/areswave/models/Geophysical_model572.nd,nd,UNK,,,1099.901,60,900,21.405,1099.901,60,1116.56,16.658,1466.387,116.609,1681.095,60,0.439544512,0.295397729,0.343446656,0.560455488,0.704602271,1
CD_model10,/home/lyara/areswave/models/CD_model10.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.745512896,0.14323772,0.343996112,0.254487104,0.85676228,1
Geophysical_model215,/home/lyara/areswave/models/Geophysical_model215.nd,nd,UNK,,,949.483,60,900,193.481,949.483,60,1114.426,16.494,1460.805,98.966,1675.15,60,0.563543642,0.236847011,0.345745888,0.436456358,0.763152989,1
Geophysical_model855,/home/lyara/areswave/models/Geophysical_model855.nd,nd,UNK,,,916.736,60,875.945,192.441,916.736,60,1117.572,33.472,1469.034,83.681,1683.914,60,0.393081033,0.324684348,0.347483243,0.606918967,0.675315652,1
Geophysical_model783,/home/lyara/areswave/models/Geophysical_model783.nd,nd,UNK,,,916.648,60,877.515,179.878,916.648,60,1116.419,16.648,1499.315,99.885,1680.704,60,0.636175458,0.211740533,0.353218842,0.363824542,0.788259467,1
CD_model35,/home/lyara/areswave/models/CD_model35.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.556186172,0.252435856,0.353685961,0.443813828,0.747564144,1
MD_model82,/home/lyara/areswave/models/MD_model82.nd,nd,UNK,,,1052.51,60,736.454,189.634,1052.51,60,1263.214,42.14,1336.96,63.211,1596.883,60,0.379676614,0.345532154,0.356913641,0.620323386,0.654467846,1
Geophysical_model680,/home/lyara/areswave/models/Geophysical_model680.nd,nd,UNK,,,1099.489,60,900,21.152,1099.489,60,1116.113,16.624,1465.218,99.745,1679.849,60,0.400786307,0.336987641,0.358253863,0.599213693,0.663012359,1
Geophysical_model382,/home/lyara/areswave/models/Geophysical_model382.nd,nd,UNK,,,1063.521,60,900,197.657,1063.521,60,1145.281,32.704,1488.674,65.408,1669.999,60,0.125461724,0.485697551,0.365618942,0.874538276,0.514302449,1
CD_model42,/home/lyara/areswave/models/CD_model42.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.72096701,0.188681201,0.366109804,0.27903299,0.811318799,1
Geophysical_model156,/home/lyara/areswave/models/Geophysical_model156.nd,nd,UNK,,,1033.403,60,900,187.379,1033.403,60,1133.456,16.675,1483.64,66.702,1681.71,60,0.313471212,0.398801973,0.370358386,0.686528788,0.601198027,1
Geophysical_model232,/home/lyara/areswave/models/Geophysical_model232.nd,nd,UNK,,,1033.403,60,900,187.379,1033.403,60,1133.456,16.675,1483.64,66.702,1681.71,60,0.313471212,0.398801973,0.370358386,0.686528788,0.601198027,1
AK_model_36,/home/lyara/areswave/models/AK_model_36.nd,nd,UNK,,,1018.238,60,808.87,26.171,1018.238,60,1227.606,104.684,1306.119,26.171,1673.647,60,0.342050691,0.385009907,0.370690168,0.657949309,0.614990093,1
Geophysical_model893,/home/lyara/areswave/models/Geophysical_model893.nd,nd,UNK,,,950.04,60,900,197.965,950.04,60,1133.518,33.36,1483.796,66.72,1681.871,60,0.490054152,0.3206942,0.377147517,0.509945848,0.6793058,1
CD_model55,/home/lyara/areswave/models/CD_model55.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.603995176,0.265145692,0.37809552,0.396004824,0.734854308,1
Geophysical_model61,/home/lyara/areswave/models/Geophysical_model61.nd,nd,UNK,,,982.649,60,900,184.153,982.649,60,1114.887,16.53,1462.012,115.708,1676.435,60,0.361537809,0.388020101,0.37919267,0.638462191,0.611979899,1
Geophysical_model558,/home/lyara/areswave/models/Geophysical_model558.nd,nd,UNK,,,1097.761,60,900,24.104,1097.761,60,1114.242,16.48,1460.324,98.881,1674.637,60,0.318200572,0.410428446,0.379685822,0.681799428,0.589571554,1
Geophysical_model724,/home/lyara/areswave/models/Geophysical_model724.nd,nd,UNK,,,1099.905,60,900,21.075,1099.905,60,1116.564,16.658,1466.397,99.953,1681.106,60,0.558025726,0.292817792,0.381220436,0.441974274,0.707182208,1
Geophysical_model547,/home/lyara/areswave/models/Geophysical_model547.nd,nd,UNK,,,1099.905,60,900,21.075,1099.905,60,1116.564,16.658,1466.397,99.953,1681.106,60,0.558025726,0.292817792,0.381220436,0.441974274,0.707182208,1
Geophysical_model662,/home/lyara/areswave/models/Geophysical_model662.nd,nd,UNK,,,1099.905,60,900,21.075,1099.905,60,1116.564,16.658,1466.397,99.953,1681.106,60,0.558025726,0.292817792,0.381220436,0.441974274,0.707182208,1
Geophysical_model714,/home/lyara/areswave/models/Geophysical_model714.nd,nd,UNK,,,900,60,900,21.451,900,60,1116.78,33.351,1483.638,100.052,1681.708,60,0.396804697,0.373840455,0.381495203,0.603195303,0.626159545,1
Geophysical_model797,/home/lyara/areswave/models/Geophysical_model797.nd,nd,UNK,,,933.11,60,878.025,197.778,933.11,60,1115.217,16.555,1479.431,99.331,1677.355,60,0.529570796,0.311360305,0.384097135,0.470429204,0.688639695,1
Geophysical_model846,/home/lyara/areswave/models/Geophysical_model846.nd,nd,UNK,,,916.714,60,900,188.969,916.714,60,1117.284,33.428,1468.281,83.571,1683.113,60,0.5382195,0.307245484,0.384236822,0.4617805,0.692754516,1
Geophysical_model626,/home/lyara/areswave/models/Geophysical_model626.nd,nd,UNK,,,933.4,60,876.875,184.998,933.4,60,1117.102,33.4,1484.505,83.501,1682.605,60,0.427557493,0.362912214,0.38446064,0.572442507,0.637087786,1
Geophysical_model531,/home/lyara/areswave/models/Geophysical_model531.nd,nd,UNK,,,950.068,60,900,179.991,950.068,60,1133.65,50.068,1484.125,66.757,1682.212,60,0.510733389,0.322459167,0.385217241,0.489266611,0.677540833,1
Geophysical_model761,/home/lyara/areswave/models/Geophysical_model761.nd,nd,UNK,,,900,60,900,179.39,900,60,1101.753,33.625,1488.445,100.876,1686.682,60,0.597835762,0.281207331,0.386750141,0.402164238,0.718792669,1
AK_model_81,/home/lyara/areswave/models/AK_model_81.nd,nd,UNK,,,1048.351,60,819.977,25.375,1048.351,60,1276.724,50.749,1327.474,50.75,1686.823,60,0.578092512,0.293188915,0.38815678,0.421907488,0.706811085,1
CD_model66,/home/lyara/areswave/models/CD_model66.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.299348742,0.433082581,0.388504634,0.700651258,0.566917419,1
Geophysical_model736,/home/lyara/areswave/models/Geophysical_model736.nd,nd,UNK,,,1084.925,60,900,29.856,1084.925,60,1101.736,16.811,1454.774,100.868,1686.632,60,0.473721049,0.349027308,0.390591888,0.526278951,0.650972692,1
Geophysical_model637,/home/lyara/areswave/models/Geophysical_model637.nd,nd,UNK,,,933.365,60,876.693,186.455,933.365,60,1116.871,33.365,1483.885,83.412,1681.963,60,0.557742471,0.31077829,0.393099684,0.442257529,0.68922171,1
Geophysical_model939,/home/lyara/areswave/models/Geophysical_model939.nd,nd,UNK,,,933.365,60,876.693,186.455,933.365,60,1116.871,33.365,1483.885,83.412,1681.963,60,0.557742471,0.31077829,0.393099684,0.442257529,0.68922171,1
Geophysical_model924,/home/lyara/areswave/models/Geophysical_model924.nd,nd,UNK,,,966.648,60,900,192.323,966.648,60,1133.268,33.324,1483.17,83.31,1681.223,60,0.512783436,0.337680032,0.396047833,0.487216564,0.662319968,1
Geophysical_model763,/home/lyara/areswave/models/Geophysical_model763.nd,nd,UNK,,,950.013,60,900,182.68,950.013,60,1133.396,33.342,1483.489,66.684,1681.554,60,0.496008746,0.347007654,0.396674684,0.503991254,0.652992346,1
Geophysical_model649,/home/lyara/areswave/models/Geophysical_model649.nd,nd,UNK,,,950.013,60,900,182.68,950.013,60,1133.396,33.342,1483.489,66.684,1681.554,60,0.496008746,0.347007654,0.396674684,0.503991254,0.652992346,1
CD_model37,/home/lyara/areswave/models/CD_model37.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.465612002,0.362604564,0.396940377,0.534387998,0.637395436,1
Geophysical_model546,/home/lyara/areswave/models/Geophysical_model546.nd,nd,UNK,,,916.694,60,877.651,178.792,916.694,60,1117.027,33.389,1467.608,83.472,1682.396,60,0.524287073,0.334015708,0.397439496,0.475712927,0.665984292,1
Geophysical_model604,/home/lyara/areswave/models/Geophysical_model604.nd,nd,UNK,,,900,60,900,180.015,900,60,1118.266,33.579,1487.638,100.738,1685.847,60,0.561131561,0.315927537,0.397662212,0.438868439,0.684072463,1
Geophysical_model612,/home/lyara/areswave/models/Geophysical_model612.nd,nd,UNK,,,916.714,60,900,193.355,916.714,60,1117.28,33.427,1484.983,83.569,1683.1,60,0.648276401,0.27292644,0.398043094,0.351723599,0.72707356,1
Geophysical_model717,/home/lyara/areswave/models/Geophysical_model717.nd,nd,UNK,,,916.648,60,877.434,180.527,916.648,60,1116.419,16.648,1499.315,99.885,1680.704,60,0.478968953,0.357615724,0.3980668,0.521031047,0.642384276,1
Geophysical_model920,/home/lyara/areswave/models/Geophysical_model920.nd,nd,UNK,,,949.962,60,900,178.868,949.962,60,1133.157,33.308,1499.547,83.27,1680.937,60,0.438720143,0.379641099,0.399334114,0.561279857,0.620358901,1
CD_model73,/home/lyara/areswave/models/CD_model73.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.222253587,0.48894917,0.400050642,0.777746413,0.51105083,1
Geophysical_model131,/home/lyara/areswave/models/Geophysical_model131.nd,nd,UNK,,,966.637,60,900,189.175,966.637,60,1116.57,16.66,1466.415,99.956,1681.124,60,0.500136995,0.350345692,0.400276126,0.499863005,0.649654308,1
Geophysical_model709,/home/lyara/areswave/models/Geophysical_model709.nd,nd,UNK,,,900,60,900,21.486,900,60,1116.829,33.358,1483.771,100.075,1681.845,60,0.391684136,0.404883282,0.400483567,0.608315864,0.595116718,1
ceylan,/home/lyara/areswave/models/ceylan.nd,nd,UNK,,,1086.523,60,887.59,24.866,1086.523,60,1285.455,24.867,1360.055,74.6,1666.648,60,0.60256788,0.299501516,0.400523637,0.39743212,0.700498484,1
Geophysical_model638,/home/lyara/areswave/models/Geophysical_model638.nd,nd,UNK,,,916.693,60,877.71,178.319,916.693,60,1117.015,33.386,1484.271,83.467,1682.363,60,0.608066798,0.297298101,0.400887666,0.391933202,0.702701899,1
Geophysical_model903,/home/lyara/areswave/models/Geophysical_model903.nd,nd,UNK,,,916.669,60,877.364,181.085,916.669,60,1116.699,33.338,1483.42,83.346,1681.482,60,0.581356733,0.310738091,0.400944305,0.418643267,0.689261909,1
Geophysical_model593,/home/lyara/areswave/models/Geophysical_model593.nd,nd,UNK,,,916.669,60,877.364,181.085,916.669,60,1116.699,33.338,1483.42,83.346,1681.482,60,0.581356733,0.310738091,0.400944305,0.418643267,0.689261909,1
Geophysical_model796,/home/lyara/areswave/models/Geophysical_model796.nd,nd,UNK,,,916.669,60,877.364,181.085,916.669,60,1116.699,33.338,1483.42,83.346,1681.482,60,0.581356733,0.310738091,0.400944305,0.418643267,0.689261909,1
Geophysical_model404,/home/lyara/areswave/models/Geophysical_model404.nd,nd,UNK,,,966.706,60,900,186.464,966.706,60,1116.796,33.353,1467.004,100.06,1681.752,60,0.481865036,0.361501411,0.401622619,0.518134964,0.638498589,1
Geophysical_model511,/home/lyara/areswave/models/Geophysical_model511.nd,nd,UNK,,,900,60,900,179.82,900,60,1118.724,33.65,1488.873,100.949,1687.125,60,0.436146619,0.387797903,0.403914141,0.563853381,0.612202097,1
Geophysical_model684,/home/lyara/areswave/models/Geophysical_model684.nd,nd,UNK,,,900,60,900,21.48,900,60,1116.854,33.362,1483.837,100.087,1681.914,60,0.448959817,0.382753243,0.404822101,0.551040183,0.617246757,1
Geophysical_model621,/home/lyara/areswave/models/Geophysical_model621.nd,nd,UNK,,,1098.113,60,875.932,48.135,1098.113,60,1114.623,16.509,1444.812,115.566,1675.699,60,0.232518033,0.491144607,0.404935749,0.767481967,0.508855393,1
