model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model837,/home/lyara/areswave/models/Geophysical_model837.nd,nd,UNK,,,916.555,60.0,877.951,198.44299999999998,916.555,60.0,1115.217,16.554999999999836,1495.986,99.33100000000013,1677.355,60.0,0.16731047658573683,0.09366334051393232,0.11821238587120049,0.8326895234142632,0.9063366594860677,1
Geophysical_model524,/home/lyara/areswave/models/Geophysical_model524.nd,nd,UNK,,,916.555,60.0,877.951,198.44299999999998,916.555,60.0,1115.217,16.554999999999836,1495.986,99.33100000000013,1677.355,60.0,0.16731047658573683,0.09366334051393232,0.11821238587120049,0.8326895234142632,0.9063366594860677,1
Geophysical_model984,/home/lyara/areswave/models/Geophysical_model984.nd,nd,UNK,,,933.11,60.0,877.605,179.15700000000004,933.11,60.0,1115.217,16.554999999999836,1495.986,99.33100000000013,1677.355,60.0,0.2649035759312933,0.05921361858589347,0.12777693770102674,0.7350964240687067,0.9407863814141065,1
Geophysical_model517,/home/lyara/areswave/models/Geophysical_model517.nd,nd,UNK,,,933.327,60.0,900.0,186.16499999999996,933.327,60.0,1116.628,16.663999999999987,1499.894,83.31899999999996,1681.286,60.0,0.23844734847834836,0.07425331743680363,0.12898466111731854,0.7615526515216516,0.9257466825631964,1
Geophysical_model759,/home/lyara/areswave/models/Geophysical_model759.nd,nd,UNK,,,966.806,60.0,900.0,177.51700000000005,966.806,60.0,1133.823,33.40299999999979,1484.557,66.80700000000002,1682.659,60.0,0.202200132612527,0.11222565939178175,0.1422171504653635,0.797799867387473,0.8877743406082182,1
Geophysical_model900,/home/lyara/areswave/models/Geophysical_model900.nd,nd,UNK,,,916.728,60.0,875.978,192.17600000000004,916.728,60.0,1117.467,33.455999999999904,1485.488,83.64100000000008,1683.622,60.0,0.0877156115625074,0.1719034789398024,0.14384085648070408,0.9122843884374926,0.8280965210601976,1
Geophysical_model798,/home/lyara/areswave/models/Geophysical_model798.nd,nd,UNK,,,916.723,60.0,877.548,179.61400000000003,916.723,60.0,1117.396,33.44599999999991,1485.297,83.61400000000003,1683.425,60.0,0.245730749327434,0.09918796527711904,0.14803555996055737,0.754269250672566,0.900812034722881,1
Geophysical_model840,/home/lyara/areswave/models/Geophysical_model840.nd,nd,UNK,,,950.057,60.0,900.0,178.01199999999994,950.057,60.0,1133.601,33.371000000000095,1484.001,66.74299999999994,1682.084,60.0,0.2660567789260416,0.09238376387028957,0.1502747688888736,0.7339432210739584,0.9076162361297104,1
Geophysical_model756,/home/lyara/areswave/models/Geophysical_model756.nd,nd,UNK,,,949.989,60.0,900.0,199.91499999999996,949.989,60.0,1116.619,16.66300000000001,1483.204,83.31500000000005,1681.259,60.0,0.3038282090636599,0.0737235477566941,0.1504251015256827,0.6961717909363401,0.9262764522433059,1
Geophysical_model637,/home/lyara/areswave/models/Geophysical_model637.nd,nd,UNK,,,933.365,60.0,876.693,186.45500000000004,933.365,60.0,1116.871,33.36500000000001,1483.885,83.41200000000003,1681.963,60.0,0.23863891910519408,0.11949781335536991,0.15921151527197797,0.7613610808948059,0.8805021866446301,1
Geophysical_model939,/home/lyara/areswave/models/Geophysical_model939.nd,nd,UNK,,,933.365,60.0,876.693,186.45500000000004,933.365,60.0,1116.871,33.36500000000001,1483.885,83.41200000000003,1681.963,60.0,0.23863891910519408,0.11949781335536991,0.15921151527197797,0.7613610808948059,0.8805021866446301,1
Geophysical_model961,/home/lyara/areswave/models/Geophysical_model961.nd,nd,UNK,,,949.959,60.0,900.0,179.64999999999998,949.959,60.0,1133.142,33.305000000000064,1499.507,83.2650000000001,1680.897,60.0,0.17585774121503872,0.16168239242055638,0.16640750868538381,0.8241422587849613,0.8383176075794436,1
Geophysical_model861,/home/lyara/areswave/models/Geophysical_model861.nd,nd,UNK,,,949.959,60.0,900.0,179.64999999999998,949.959,60.0,1133.142,33.305000000000064,1499.507,83.2650000000001,1680.897,60.0,0.17585774121503872,0.16168239242055638,0.16640750868538381,0.8241422587849613,0.8383176075794436,1
Geophysical_model206,/home/lyara/areswave/models/Geophysical_model206.nd,nd,UNK,,,916.863,60.0,900.0,181.38800000000003,916.863,60.0,1102.35,16.863000000000056,1439.601,101.17599999999993,1688.486,60.0,0.1732809065839428,0.1780407774148799,0.17645415380456753,0.8267190934160572,0.8219592225851201,1
Geophysical_model108,/home/lyara/areswave/models/Geophysical_model108.nd,nd,UNK,,,999.816,60.0,900.0,195.837,999.816,60.0,1116.267,16.635999999999967,1498.893,99.81500000000005,1680.28,60.0,0.19046943342066736,0.1746140921255609,0.17989920589059638,0.8095305665793326,0.8253859078744391,1
Geophysical_model16,/home/lyara/areswave/models/Geophysical_model16.nd,nd,UNK,,,999.738,60.0,878.116,196.952,999.738,60.0,1116.099,16.623000000000047,1481.804,99.73799999999983,1679.811,60.0,0.34850415531669743,0.10054526180364454,0.1831982263079955,0.6514958446833026,0.8994547381963555,1
Geophysical_model887,/home/lyara/areswave/models/Geophysical_model887.nd,nd,UNK,,,966.653,60.0,900.0,193.25599999999997,966.653,60.0,1133.286,33.327,1499.88,83.31700000000001,1681.272,60.0,0.3095990208850492,0.12623113244207107,0.18735376192306377,0.6904009791149508,0.8737688675579289,1
CD_model72,/home/lyara/areswave/models/CD_model72.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.21449207634787637,0.1765695267242684,0.18921037659880438,0.7855079236521236,0.8234304732757316,1
Geophysical_model674,/home/lyara/areswave/models/Geophysical_model674.nd,nd,UNK,,,916.672,60.0,900.0,180.51700000000005,916.672,60.0,1116.738,33.34500000000003,1483.524,83.36099999999988,1681.59,60.0,0.3353000868823903,0.11861450299163678,0.1908430309552213,0.6646999131176097,0.8813854970083632,1
Geophysical_model691,/home/lyara/areswave/models/Geophysical_model691.nd,nd,UNK,,,900.0,60.0,900.0,179.015,900.0,60.0,1119.258,33.73199999999997,1490.311,101.19599999999991,1688.613,60.0,0.4412365848618348,0.06709166084649465,0.1918066355182747,0.5587634151381652,0.9329083391535054,1
Geophysical_model656,/home/lyara/areswave/models/Geophysical_model656.nd,nd,UNK,,,900.0,60.0,900.0,179.015,900.0,60.0,1119.258,33.73199999999997,1490.311,101.19599999999991,1688.613,60.0,0.4412365848618348,0.06709166084649465,0.1918066355182747,0.5587634151381652,0.9329083391535054,1
Geophysical_model782,/home/lyara/areswave/models/Geophysical_model782.nd,nd,UNK,,,900.0,60.0,900.0,179.015,900.0,60.0,1119.258,33.73199999999997,1490.311,101.19599999999991,1688.613,60.0,0.4412365848618348,0.06709166084649465,0.1918066355182747,0.5587634151381652,0.9329083391535054,1
Geophysical_model98,/home/lyara/areswave/models/Geophysical_model98.nd,nd,UNK,,,1098.133,60.0,900.0,197.5,1098.133,60.0,1147.666,16.510999999999967,1494.399,66.04399999999987,1675.759,60.0,0.35652340487643996,0.11034609044524857,0.1924051952556457,0.64347659512356,0.8896539095547514,1
Geophysical_model614,/home/lyara/areswave/models/Geophysical_model614.nd,nd,UNK,,,933.975,60.0,879.27,186.57299999999998,933.975,60.0,1120.837,33.975000000000136,1494.562,84.9369999999999,1693.011,60.0,0.4620371280837041,0.06736413280545717,0.19892179789820616,0.5379628719162959,0.9326358671945428,1
