model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model10,/home/lyara/areswave/models_short/CD_model10.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3657131368928995,0.6066338645606186,0.5263269553380456,0.6342868631071005,0.39336613543938137,5
Geophysical_model160,/home/lyara/areswave/models_short/Geophysical_model160.nd,nd,UNK,,,1001.362,60.0,862.062,189.68899999999996,1001.362,60.0,1119.617,33.78800000000001,1689.612,60.0,0.528170090178417,0.5285614790378725,0.5284310160847207,0.471829909821583,0.4714385209621275,5
Geophysical_model760,/home/lyara/areswave/models_short/Geophysical_model760.nd,nd,UNK,,,1050.167,60.0,900.0,21.375999999999976,1050.167,60.0,1100.223,33.371000000000095,1682.066,60.0,0.5681846033349235,0.509824375850114,0.5292777850117171,0.4318153966650765,0.49017562414988614,5
maak,/home/lyara/areswave/models_short/maak.npz,npz,UNK,,,1084.528,60.0,858.423,180.88400000000001,1084.528,60.0,1174.97,90.44200000000001,1695.01,22.6099999999999,0.5437653112136809,0.5227119662027531,0.5297297478730624,0.4562346887863192,0.4772880337972468,5
CD_model30,/home/lyara/areswave/models_short/CD_model30.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.36078303392870237,0.6142705940881145,0.5297747407016438,0.6392169660712976,0.3857294059118856,5
Geophysical_model440,/home/lyara/areswave/models_short/Geophysical_model440.nd,nd,UNK,,,966.559,60.0,900.0,181.32500000000005,966.559,60.0,1116.317,16.638999999999896,1680.417,60.0,0.43108107943984564,0.5863482920824884,0.5345925545349408,0.5689189205601544,0.4136517079175116,5
Geophysical_model940,/home/lyara/areswave/models_short/Geophysical_model940.nd,nd,UNK,,,933.35,60.0,853.741,185.034,933.35,60.0,1116.776,33.34999999999991,1681.697,60.0,0.5182697586187287,0.5428435952070962,0.5346523163443071,0.4817302413812713,0.4571564047929038,5
Geophysical_model240,/home/lyara/areswave/models_short/Geophysical_model240.nd,nd,UNK,,,999.801,60.0,878.469,193.77800000000002,999.801,60.0,1116.236,16.63299999999981,1680.192,60.0,0.4466362723718749,0.5852069125225459,0.5390166991389889,0.5533637276281251,0.41479308747745397,5
Geophysical_model430,/home/lyara/areswave/models_short/Geophysical_model430.nd,nd,UNK,,,982.965,60.0,878.763,191.13199999999995,982.965,60.0,1115.708,16.592999999999847,1678.723,60.0,0.45617832286322224,0.5817135528038841,0.5398684761569968,0.5438216771367778,0.41828644719611585,5
Geophysical_model920,/home/lyara/areswave/models_short/Geophysical_model920.nd,nd,UNK,,,949.962,60.0,900.0,178.86800000000005,949.962,60.0,1133.157,33.30799999999999,1680.937,60.0,0.5219304487683273,0.5489117343421184,0.5399179724841879,0.4780695512316727,0.4510882656578817,5
AK_model_70,/home/lyara/areswave/models_short/AK_model_70.nd,nd,UNK,,,1060.0,60.0,825.0,25.0,1060.0,60.0,1300.0,75.0,1634.964,60.0,0.5644740669716514,0.5330800699574463,0.543544735628848,0.43552593302834863,0.4669199300425538,5
Geophysical_model520,/home/lyara/areswave/models_short/Geophysical_model520.nd,nd,UNK,,,933.507,60.0,900.0,193.37099999999998,933.507,60.0,1117.798,33.506999999999834,1684.543,60.0,0.5624221913274838,0.5347383858593402,0.5439663210153881,0.43757780867251617,0.46526161414065975,5
Geophysical_model670,/home/lyara/areswave/models_short/Geophysical_model670.nd,nd,UNK,,,933.507,60.0,900.0,193.37099999999998,933.507,60.0,1117.798,33.506999999999834,1684.543,60.0,0.5624221913274838,0.5347383858593402,0.5439663210153881,0.43757780867251617,0.46526161414065975,5
Geophysical_model890,/home/lyara/areswave/models_short/Geophysical_model890.nd,nd,UNK,,,917.024,60.0,877.908,198.82600000000002,917.024,60.0,1121.318,34.04899999999998,1694.351,60.0,0.5487389015197726,0.5416120227520418,0.543987649007952,0.4512610984802274,0.4583879772479582,5
Geophysical_model270,/home/lyara/areswave/models_short/Geophysical_model270.nd,nd,UNK,,,1001.288,60.0,880.467,195.33399999999995,1001.288,60.0,1119.457,33.76299999999992,1689.167,60.0,0.5590811088045428,0.5368750321070085,0.5442770576728533,0.44091889119545724,0.4631249678929915,5
Geophysical_model780,/home/lyara/areswave/models_short/Geophysical_model780.nd,nd,UNK,,,916.707,60.0,875.814,193.485,916.707,60.0,1117.197,33.414999999999964,1682.87,60.0,0.5545654851975058,0.5396281197521879,0.5446072415672939,0.4454345148024942,0.460371880247812,5
Geophysical_model700,/home/lyara/areswave/models_short/Geophysical_model700.nd,nd,UNK,,,916.847,60.0,879.958,180.37400000000002,916.847,60.0,1119.005,33.69300000000021,1687.906,60.0,0.5786201281337616,0.5280529266513557,0.5449086604788244,0.4213798718662384,0.47194707334864416,5
AK_model_20,/home/lyara/areswave/models_short/AK_model_20.nd,nd,UNK,,,1062.423,60.0,820.847,26.841999999999985,1062.423,60.0,1277.158,26.84199999999987,1702.21,60.0,0.47285258593793944,0.5811121469663707,0.5450256266235604,0.5271474140620606,0.4188878530336292,5
AK_model_80,/home/lyara/areswave/models_short/AK_model_80.nd,nd,UNK,,,1048.834,60.0,845.714,25.3900000000001,1048.834,60.0,1277.345,50.77999999999997,1687.555,60.0,0.5357720132084178,0.5523147750560398,0.5468005211068324,0.4642279867915821,0.44768522494396024,5
