model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model890,/home/lyara/areswave/models_short/Geophysical_model890.nd,nd,UNK,,,917.024,60.0,877.908,198.82600000000002,917.024,60.0,1121.318,34.04899999999998,1694.351,60.0,0.5959846455475655,0.5739374792141115,0.5812865346585961,0.40401535445243447,0.4260625207858885,17
Geophysical_model100,/home/lyara/areswave/models_short/Geophysical_model100.nd,nd,UNK,,,1033.219,60.0,877.55,179.596,1033.219,60.0,1133.134,33.305000000000064,1680.877,60.0,0.5810371034177163,0.5815545433275429,0.5813820633576007,0.41896289658228375,0.418445456672457,17
Geophysical_model1,/home/lyara/areswave/models_short/Geophysical_model1.nd,nd,UNK,,,1033.278,60.0,900.0,182.55399999999997,1033.278,60.0,1133.237,33.319999999999936,1681.144,60.0,0.592082303733662,0.5760975578828967,0.5814258064998185,0.4079176962663379,0.42390244211710326,17
Geophysical_model790,/home/lyara/areswave/models_short/Geophysical_model790.nd,nd,UNK,,,900.0,60.0,900.0,197.837,900.0,60.0,1104.416,17.035000000000082,1694.72,60.0,0.5730559289460389,0.5866345181322674,0.5821083217368579,0.42694407105396115,0.4133654818677325,17
Geophysical_model250,/home/lyara/areswave/models_short/Geophysical_model250.nd,nd,UNK,,,1033.261,60.0,900.0,182.41499999999996,1033.261,60.0,1133.207,33.315000000000055,1681.067,60.0,0.5786074486929785,0.583888527703051,0.5821281680330269,0.4213925513070216,0.416111472296949,17
Geophysical_model630,/home/lyara/areswave/models_short/Geophysical_model630.nd,nd,UNK,,,916.693,60.0,877.619,179.04700000000003,916.693,60.0,1117.015,33.386000000000195,1682.363,60.0,0.6007286904977307,0.574327300112965,0.5831277635745535,0.3992713095022693,0.42567269988703493,17
Geophysical_model880,/home/lyara/areswave/models_short/Geophysical_model880.nd,nd,UNK,,,916.693,60.0,877.556,179.548,916.693,60.0,1117.015,33.386000000000195,1682.363,60.0,0.5928907151978949,0.5806602670706918,0.5847370831130929,0.4071092848021051,0.4193397329293081,17
AK_model_70,/home/lyara/areswave/models_short/AK_model_70.nd,nd,UNK,,,1060.0,60.0,825.0,25.0,1060.0,60.0,1300.0,75.0,1634.964,60.0,0.5670975184059599,0.5939242551872262,0.5849820095934708,0.4329024815940401,0.4060757448127738,17
Geophysical_model170,/home/lyara/areswave/models_short/Geophysical_model170.nd,nd,UNK,,,1096.935,60.0,900.0,199.07799999999997,1096.935,60.0,1146.169,32.822999999999865,1672.143,60.0,0.5571380658410311,0.5992900536384351,0.5852393910393004,0.442861934158969,0.4007099463615649,17
Geophysical_model810,/home/lyara/areswave/models_short/Geophysical_model810.nd,nd,UNK,,,966.616,60.0,900.0,178.75699999999995,966.616,60.0,1133.157,33.30799999999999,1680.937,60.0,0.5499112225854388,0.6037938455889152,0.5858329712544231,0.45008877741456127,0.3962061544110848,17
Geophysical_model530,/home/lyara/areswave/models_short/Geophysical_model530.nd,nd,UNK,,,1086.696,60.0,900.0,21.399999999999977,1086.696,60.0,1103.669,16.97199999999998,1692.465,60.0,0.6067047274521151,0.5758334335367563,0.586123864841876,0.3932952725478849,0.4241665664632437,17
Geophysical_model800,/home/lyara/areswave/models_short/Geophysical_model800.nd,nd,UNK,,,1088.334,60.0,900.0,20.74000000000001,1088.334,60.0,1105.456,17.121000000000095,1697.857,60.0,0.5947400691811563,0.5821785903198853,0.5863657499403089,0.40525993081884365,0.41782140968011483,17
