event_id,phase,official_group,official_used,plotted_component,window_type,sign,shift_samples,shift_s,official_cc,official_group_cc_reconstructed,official_misfit,official_group_misfit_reconstructed,official_abs_difference,match_official,overlap_group_cc,overlap_group_misfit,overlap_component_cc,overlap_component_misfit,overlap_npts_component,window_start_s,window_end_s,best_model_id,note
S1094b,P,Z,Z,Z,pick-based,-,40,2.0,0.8683576435262542,0.8683576435262542,0.13164235647374578,0.13164235647374578,0.0,True,0.8776714171876063,0.12232858281239367,0.8776714171876063,0.12232858281239367,160,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1094b,S,R,R,R,pick-based,-,-84,-4.2,0.5957272854585762,0.5957272854585762,0.40427271454142377,0.40427271454142377,0.0,True,0.810148916239995,0.18985108376000503,0.810148916239995,0.18985108376000503,216,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0185a,P,Z,Z,Z,pick-based,+,61,3.0500000000000003,0.15054801382637856,0.15054801382637856,0.8494519861736214,0.8494519861736214,0.0,True,0.15613146731759192,0.843868532682408,0.15613146731759192,0.843868532682408,139,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0185a,S,R,R,R,pick-based,+,63,3.1500000000000004,0.6226677202786816,0.6226677202786816,0.37733227972131844,0.37733227972131844,0.0,True,0.642899360338648,0.35710063966135197,0.642899360338648,0.35710063966135197,237,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0234c,P,Z,Z,Z,pick-based,+,-5,-0.25,0.5235530711087621,0.5235530711087621,0.47644692889123785,0.47644692889123785,0.0,True,0.5319846500499549,0.4680153499500451,0.5319846500499549,0.4680153499500451,195,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0234c,S,R,R,R,pick-based,+,-22,-1.1,0.4079695080790859,0.4079695080790859,0.5920304919209141,0.5920304919209141,0.0,True,0.460756208619213,0.539243791380787,0.460756208619213,0.539243791380787,278,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0167b,P,Z,Z,Z,pick-based,+,14,0.7000000000000001,0.35014814599936295,0.35014814599936295,0.649851854000637,0.649851854000637,0.0,True,0.3621775717687704,0.6378224282312296,0.3621775717687704,0.6378224282312296,186,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0167b,S,T,T,T,pick-based,+,99,4.95,0.37586722932807165,0.37586722932807165,0.6241327706719284,0.6241327706719284,0.0,True,0.5117876073921565,0.48821239260784355,0.5117876073921565,0.48821239260784355,201,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1102a,P,Z,Z,Z,pick-based,+,31,1.55,0.323945740174202,0.323945740174202,0.6760542598257979,0.6760542598257979,0.0,True,0.33480739611935495,0.665192603880645,0.33480739611935495,0.665192603880645,169,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1102a,S,R,R,R,pick-based,-,-92,-4.6000000000000005,0.5024764464073211,0.5024764464073211,0.49752355359267886,0.49752355359267886,0.0,True,0.529993027743599,0.470006972256401,0.529993027743599,0.470006972256401,208,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
