vp_top,vp_bot,vs_top,vs_bot,d1000,w1000,d_layer,cost,model_id,elapsed_s,run_seed
6.455718046955408,8.984525216979462,3.3715743704323944,5.4164051275278355,1017.9678881726296,143.69095909606256,1616.2302125346332,1.2962340197587943,1,17290.24200320244,2025
6.859788310710318,6.936141963985161,4.1939486056869875,4.889450158608239,1064.014697219991,65.13482890135619,1531.426354345333,1.2962340197587943,2,17290.24200320244,2025
8.971376294205694,8.489703543956898,4.292266172858056,5.202523674467534,935.8667387634883,128.39141630124246,1603.2141373769707,1.2962340197587943,3,17290.24200320244,2025
6.015484361563196,6.101468766026329,4.356685548324784,4.5265601396575095,1039.7688065133284,28.35193779334835,1534.8861405786192,1.2962340197587943,4,17290.24200320244,2025
9.055661690942491,8.09608101461585,3.788407103776793,4.4452357924565105,987.6598758938785,38.11269809607947,1690.678320236611,1.2962340197587943,5,17290.24200320244,2025
6.777377107463042,9.119154933094462,3.4052445992260174,4.752037750544992,1075.2349461181493,32.17430452941562,1636.3893626767028,1.2962340197587943,6,17290.24200320244,2025
8.227345484741253,9.554230411411561,3.484164553564052,5.3362904352169584,952.4654647100152,42.02232565813671,1662.752834233107,1.2962340197587943,7,17290.24200320244,2025
8.745780610605161,7.569053121962657,4.098721312493387,4.7015962920167125,1030.657424995373,134.54013856144832,1510.1111878396446,1.2962340197587943,8,17290.24200320244,2025
8.663126896063995,8.545024092871914,4.144052387469711,4.465919209856646,1012.7759617388454,43.54942279271101,1545.3592582203453,1.2962340197587943,9,17290.24200320244,2025
8.456138755490485,6.458814554608482,5.190297520650883,4.7872014784439685,910.2917604948113,46.29009804244198,1613.86721774265,1.2962340197587943,10,17290.24200320244,2025
6.474827999853307,9.951767681204005,3.2612855134782555,4.620019633956628,997.863290134286,94.51572242752832,1523.2422614094812,1.2962340197587943,11,17290.24200320244,2025
9.446414934665848,9.852304605753467,3.9385476271242,3.9974847842582633,925.7893787874629,120.26259685829194,1684.3388995590913,1.2962340197587943,12,17290.24200320244,2025
7.398306703400228,8.21141892181738,3.578630809658594,4.276808357672692,902.218488834937,23.86923818475536,1669.8143535385027,1.2962340197587943,13,17290.24200320244,2025
9.261962166719998,6.6250170591916,4.890783665511875,3.4573392054138457,961.6192254706299,127.41515351062523,1596.8993878632734,1.2962340197587943,14,17290.24200320244,2025
6.228933841914891,9.460613329898482,4.390899700888949,4.194356128864998,963.145488025093,80.13102537570161,1673.768545546945,1.2962340197587943,15,17290.24200320244,2025
6.170584792857858,9.300078105588685,5.383990777237237,3.5892002024707508,985.0371580745064,141.88220003322724,1557.6974895342728,1.2962340197587943,16,17290.24200320244,2025
9.112721042186008,6.788180584446136,4.8017102113442025,5.170853655452445,1086.638548478656,20.95678675969002,1547.8643903710424,1.2962340197587943,17,17290.24200320244,2025
8.363009588775299,7.853306843296803,3.856582143425015,3.527973325974723,993.6273185473759,85.42723515956935,1654.0665353581257,1.2962340197587943,18,17290.24200320244,2025
7.489082785534719,6.262035359091369,4.5314384181756875,4.996845670733499,1023.3748460801518,107.1680206702647,1515.2365263137333,1.2962340197587943,19,17290.24200320244,2025
7.825613927015091,7.2600254306516,4.582314610484847,3.229280193637413,1004.8793743151833,122.60786853952987,1629.1442172776494,1.2962340197587943,20,17290.24200320244,2025
