eval,gen,event_id,cost
1,1,S0185a,1.306542270290953
2,1,S0185a,1.2870328277433551
3,1,S0185a,1.291535923520195
4,1,S0185a,1.2981301340537248
5,1,S0185a,1.2754440914975218
6,1,S0185a,1.2987121790638367
7,1,S0185a,1.1805801525830897
8,1,S0185a,1.2891447546475208
9,1,S0185a,1.2376822931367688
10,1,S0185a,1.2883465003965693
11,2,S0185a,1.1161640770179795
12,2,S0185a,1.2843248788750072
13,2,S0185a,1.2839750560902985
14,2,S0185a,1.2874228729039543
15,2,S0185a,1.300181728366615
16,2,S0185a,1.2061797998569013
17,2,S0185a,1.2793476433534448
18,2,S0185a,1.296553986085755
19,2,S0185a,1.282603141283404
20,2,S0185a,1.3023910833526413
21,3,S0185a,1.26193883911977
22,3,S0185a,1.2932471582766984
23,3,S0185a,1.199916759031735
24,3,S0185a,1.1966191658419358
25,3,S0185a,1.2487463836764183
26,3,S0185a,1.1855609302957322
27,3,S0185a,1.3010330998001516
28,3,S0185a,1.1541529371359402
29,3,S0185a,1.2882078506234835
30,3,S0185a,1.2997328027333972
31,4,S0185a,1.303854787486475
32,4,S0185a,1.2978362514609247
33,4,S0185a,1.2891734177481573
34,4,S0185a,1.1607281397791929
35,4,S0185a,1.294376901879985
36,4,S0185a,1.2924268544903157
37,4,S0185a,1.2827353487801734
38,4,S0185a,1.3025156592223999
39,4,S0185a,1.266334351055014
40,4,S0185a,1.2890824670599397
41,5,S0185a,1.312533035327425
42,5,S0185a,1.2451243243089127
43,5,S0185a,1.1267134357219657
44,5,S0185a,1.3027236505042927
45,5,S0185a,1.3184609425151006
46,5,S0185a,1.3005261034425188
47,5,S0185a,1.2951608839101894
48,5,S0185a,1.2852698511744614
49,5,S0185a,1.3021597691977105
50,5,S0185a,1.296090714622554
51,6,S0185a,1.2506784618995228
52,6,S0185a,1.2742294359158761
53,6,S0185a,1.2698227094757826
54,6,S0185a,1.2793929698837365
55,6,S0185a,1.129249111276806
56,6,S0185a,1.2966239300272182
57,6,S0185a,1.306659280264312
58,6,S0185a,1.3040692700590277
59,6,S0185a,1.284489253778165
60,6,S0185a,1.290749272143324
61,7,S0185a,1.3029179065869547
62,7,S0185a,1.2856569090904104
63,7,S0185a,1.3139203421791663
64,7,S0185a,1.2638402249897718
65,7,S0185a,1.3035447306616548
66,7,S0185a,1.2847559950583949
67,7,S0185a,1.2909667767067665
68,7,S0185a,1.2452224765127604
69,7,S0185a,1.3018446265878407
70,7,S0185a,1.2738020099485767
71,8,S0185a,1.2897144037138637
72,8,S0185a,1.2888085972695984
73,8,S0185a,1.2905195460936705
74,8,S0185a,1.2877079893950625
75,8,S0185a,1.2902351040978797
76,8,S0185a,1.2987121790638367
77,8,S0185a,1.1805801525830897
78,8,S0185a,1.2891447546475208
79,8,S0185a,1.3009443914946552
80,8,S0185a,1.2883465003965693
81,9,S0185a,1.310578331745825
