Depth (km),Strike (°),Dip (°),Rake (°),Cost
37.68050222828117,287.626085765894,77.08340684128298,97.78571767052068,0.19902618223324448
39.2972847893672,260.0722510976817,6.828541606698307,-162.85581285124195,0.19813556414218847
35.03897465118,235.04978422895707,83.8066916735252,141.28622351875822,0.1784857616064206
23.17621284145658,25.42814893268874,75.43129215846302,120.25907578748269,0.17187868818319124
12.316822818339794,270.8931353712403,37.887914802997855,-157.36131343566794,0.18476465166501627
35.22681469238178,116.51940976422794,14.318901120622346,-111.62303726701005,0.24397597455733688
41.67422293793251,322.05667499720386,71.2022457301877,85.64596341371299,0.20038776566299824
14.46603168387239,163.33124728201753,54.22909217192924,148.96061287959196,0.22193174896347828
37.99762606361593,322.9611484432854,48.58226932510652,83.98714242591956,0.2116778039410864
28.601371151067564,249.6598033963527,30.44232873539274,132.40363510705322,0.161586171006799
36.12678418618073,263.59627516795945,5.343139276728332,70.11781806211465,0.19152393178609228
22.931808941297483,243.47924036501018,33.88950573704329,98.6753194581135,0.19529765328293616
28.296265127302092,354.5556677851283,48.9708629186537,116.52839162295902,0.17406147008204337
31.28529732485798,255.99781294903948,14.609563771476687,156.50670276562983,0.23310037922937232
24.784908237250548,66.61651958020443,5.487942468159551,-106.58567385633052,0.16161615766833712
13.027975789314318,67.39588510649793,1.939983936378027,171.00034035187656,0.16575983096541236
25.707598616683818,159.0650658183834,80.25576828763995,33.79029711728697,0.17622318503884848
43.99316603057059,102.57445483422376,69.7037326507365,-128.5197036557585,0.19575226977250418
18.501060262795455,36.72530075658158,14.67824316727832,-49.27843374601295,0.20725538157073944
36.95218132898972,185.93939445509244,8.178965788856937,167.3353966690322,0.17535226621589522
34.88367258180696,151.8351913118668,40.94313459352079,18.2196892534038,0.21250577584879837
38.89832570207433,198.6951380125612,29.142513996384444,-101.38202009959869,0.2640323050899507
12.93090420505435,290.0886205674112,59.597576775562544,167.28312821158062,0.21741881002984945
31.162242749612044,224.53835717310673,59.44798504265875,57.7357658640731,0.22598942733378893
19.204579559160916,322.3725809237146,12.773891962920759,-51.4058520043057,0.1618916965368028
40.34630742694709,40.399964033749185,30.776199373220283,28.371756081832473,0.23709773460391148
16.966556777214166,327.5798729683174,44.37518971580781,169.87191808115136,0.2632462521144947
38.25928172442526,318.14212157327063,55.565712486145515,-69.13159699786615,0.24049385665284823
40.816454130448996,15.779088139071895,86.83653266315865,-126.35930763297975,0.24920953082848193
33.568880596119016,144.43925784728404,7.661484041282545,161.67120979667055,0.16339517894266065
38.808963010476255,351.89477054171147,41.88126566031417,113.36616333463905,0.32586035004542385
26.396556261065914,336.828486753295,3.463063703226209,-146.78448063056908,0.20013113473722416
30.230899884289002,305.95818092604856,68.48728859082756,74.81972049251033,0.3252099531223146
20.478816333302444,58.75899025237031,38.288456857487816,103.1864383582685,0.22446054406836344
24.014708160646297,65.2164826496512,21.304657459815417,-127.86880911628097,0.2060491983190525
32.01241521072488,228.58052973333002,71.25332461214506,71.9379316027667,0.22473991804504573
33.397038641785656,148.71608248248864,68.25074903532793,5.153147353328933,0.165329182608705
15.512965742234822,186.3183069119451,37.04206908647077,88.44336541728364,0.17638073579876357
30.162095183449285,87.81561181226657,34.439258703225,-134.50964535717543,0.3665036483260506
20.937765650060527,68.56578907273605,21.60966719846059,-99.04697389779072,0.24975223561531473
18.452371675178703,219.80329314882042,60.104792794073795,-17.024006104888997,0.24431086375124497
35.866791225699544,316.3305640213431,70.01756626712967,-38.62723909158535,0.2140515893418641
34.00724559487343,318.1375668393381,13.632137118315558,-111.4237984406365,0.1946956450726923
29.711539682963092,70.09431214281815,70.2010357548853,136.80938220545318,0.26007603904344107
40.56110882033693,162.40308025152444,4.21245350387331,-140.12294219025665,0.14879054861205543
34.66179844171237,181.23249943984177,65.13720021898308,113.412868527071,0.285399025740552
12.197536232647476,342.51170993247143,12.911397844254122,-166.63020110643672,0.1820103229202022
27.596641296582874,206.96479134828172,0.3941121544465831,-35.26846844258179,0.16539801218251526
15.527453331365756,265.0399121772235,66.16975729107985,-177.2191813893717,0.13790744472178762
40.19595826004228,261.37659883857265,52.33770335884942,120.14077347724708,0.24270081650953396
29.67525639633982,254.60715738801878,70.63399323103687,-36.35644509032187,0.3198389896629116
20.65889668866232,261.55170156905325,79.37058305953686,-169.0922124143943,0.1293329530906981
27.438116745464992,253.20837363737553,77.93663646520861,-131.54517824117073,0.1692042458380367
13.143672209717133,275.5130479929258,66.15406820083136,162.13271141033516,0.17234272773710788
15.383845691929025,266.44354867775905,45.02093218048467,-161.62020850931654,0.13848290401279986
17.409923953759723,216.82037927523277,28.22909729649162,-116.26962847276712,0.18535413917419094
35.91458461648984,273.18784262128656,64.34087849222878,24.442188074914526,0.30776158128802616
16.04775109379586,274.8079116377737,60.624841171144226,85.2464951577233,0.21904660099171316
29.7981786149419,256.67873319709986,56.46174136465582,-126.71360810691081,0.2501784720909401
12.712802660739055,263.98927536428664,67.4302949108093,-66.20729864999419,0.20213782528817892
27.3275751680323,265.00461001759453,89.36487038918449,-13.06884519387927,0.15381804491043535
17.575871034768518,245.4119514278558,78.90527203461488,-15.524942606145359,0.27369490781210865
13.826957326630016,316.4673924276785,60.03021394800074,179.64946373598445,0.2736692895664508
40.94114972716839,263.4091533325133,62.374495964102096,123.73811276051686,0.23304560503077631
24.263154433584056,84.29021363369444,57.913516639507954,-114.4983723581378,0.21392545463037885
13.68753070783714,336.20901238387245,23.699578804046187,78.91620973126982,0.25175800214327887
20.02843912702865,252.28051263068312,72.70121475795817,3.875193334747813,0.24366499591498564
34.51633580768783,249.94841859358777,68.78251019309589,-145.63759422000567,0.24128606263662064
16.80592963918919,10.801994641533042,89.54877913099989,177.50614910708123,0.23972561435435086
22.661629849218883,219.9350489777438,82.13774541535369,83.04972342554206,0.2049728239102664
31.767755269143446,284.83831599241694,61.791802393334265,15.422910424211139,0.2274769566129441
42.18836812793411,217.33041664079798,39.56662668019017,154.37960983600635,0.22818818760174014
15.928678627403169,263.6970331636499,65.70567221967553,32.65761326881943,0.2797363063403296
29.30931128384683,282.9802193384125,63.054118455820344,37.723209764434515,0.18447041047593737
16.283934495637904,320.8213688116013,25.723815075858806,-75.83843829192797,0.16515020459197743
