Depth (km),Strike (°),Dip (°),Rake (°),Cost
35.442457433284126,111.01225943342754,89.86828037922822,93.66790136769134,0.18997600701667053
27.130473953483005,110.28608296627081,0.5968439477535992,-60.801347363741456,0.15121158107527038
28.467062569091283,93.41873188899567,61.94162160681638,170.20429541946567,0.16093567682339668
18.103212420090365,101.04732903769032,13.103161264620987,-72.78749194746315,0.18676074134153234
42.07884137537173,115.48066230114938,87.49025058900216,26.16676244945438,0.22436444221750207
29.65001998856461,101.57341621622544,17.230932403529202,136.77459520004015,0.17430939736998582
39.63858493977876,278.24837525358316,20.094136630444364,126.06372539932966,0.22431474505483007
15.299631121918033,191.4477655343532,33.55797930730014,-30.39808361023441,0.2826705458173543
34.160246074865086,301.37290009892433,64.7200869220526,98.49335783535315,0.0899516220441227
15.702995543035463,205.7918741772385,33.301566399253346,-92.63680673421688,0.3546485785336374
41.80525291975782,290.50542998760756,15.580712238052186,-56.20188211218522,0.14961198425961034
24.125293334361988,150.59463402491758,78.37652561535224,24.547562831329117,0.17813104179363975
16.44338243681208,321.9382132838043,74.51144492765987,-104.65367060659509,0.22435964526785546
42.4972807042753,230.35780788327747,37.36616876295172,-93.88105852856624,0.2247129079670222
22.54885234503663,221.80407968722483,53.18610273022283,118.6435368608627,0.3429854676754942
42.99155689775273,218.86785239664562,0.9090194473855218,95.86035295458248,0.18907177896812014
42.457386281120115,320.25879839199,79.0582771855076,-104.76989986767329,0.18238180817785685
33.67405097469438,175.71839887949983,82.42392575754013,-179.01946351450334,0.2254675283966892
30.396902209545637,219.98217402826074,39.74959613296244,92.30222031186554,0.18099644190994715
43.787742027918654,264.4468749002429,37.41758780173932,135.9254169879581,0.14970178080412494
27.74311095302028,113.88803269406004,77.32720784630528,-119.58120956655662,0.19130196376778613
27.353908518589797,227.36737923571803,53.09538742183822,113.32194459567398,0.2915214152182662
27.903116754501095,276.43816724817793,73.8631600567453,118.60073231711556,0.192253678189711
35.374775451181165,55.66715047223009,75.8415058003405,47.587146668362664,0.18287205562181244
13.776512956849388,29.4119728556619,10.770028613835464,-85.3723645848893,0.37734970066189755
19.346060365116056,195.18852540265516,43.91667217975549,26.32943308372606,0.1659266512466631
40.684243534664915,243.3800709148817,88.9835731995059,-32.3011981138921,0.15946389606725386
14.388806628019548,67.2887690691096,55.94640708731323,59.184492613946105,0.2250488732635709
20.06094615488255,82.82436270706589,32.82189836280649,58.606141756718415,0.2553149517807091
15.918544370787018,256.66147818603434,21.146364673785722,150.23432013240972,0.1589432275648914
13.999128202348764,180.4428240774758,40.48290517481499,21.643413289474353,0.20813453035917356
35.8958481812586,318.2664112157245,15.211054613613722,-174.0816846428489,0.1859833145737736
30.31201092009969,130.0188582137657,64.1738283271295,-1.091509598436403,0.16063358847772913
36.58619887513615,233.85555087449418,63.140570054830945,150.549806087016,0.15036484466451758
29.49331015126208,117.3491159075938,13.888314087761275,-58.15299697378288,0.19119939995520283
31.393159020183077,33.17017550654897,51.083766505228404,-87.15136043210036,0.24138069546613544
