run_label,base_event_id,unique_event_id,snapshot_key,snapshot_label,row_index,csv_cost,depth_km,strike_deg,dip_deg,rake_deg,mt_Mrr,mt_Mrt,mt_Mrp,mt_Mtt,mt_Mtp,mt_Mpp
X,S0185a_mqs2019kxjd,S0185a_X_initial_row41,initial,Initial best of iter. 1,41,0.1172565952236392,38.971464485327886,305.61991959423744,10.561299202363069,-4.728002813551711,1.670338169135428e+19,-3.560142638100101e+20,-4.226716735613492e+20,-1.082998399891298e+20,2.5127308100063805e+19,9.159645829777552e+19
X,S0185a_mqs2019kxjd,S0185a_X_iter15_row437,iter15,Best by iter. 15,437,0.0810254188570186,31.599160949453577,311.22902250799643,86.63933425817794,13.631817545688756,-1.5511801247735466e+19,-1.2010525119245e+20,6.265467724526438e+19,-5.320669963410161e+20,7.92947917653273e+19,5.475787975887516e+20
X,S0185a_mqs2019kxjd,S0185a_X_iter30_row984,iter30,Best before restart/iter. 30,984,0.0650162333410065,30.37213190068604,305.89316668514255,80.43828945419004,16.272557204186025,-5.162122502174325e+19,-1.7317683399410074e+20,1.4641235245096505e+19,-4.717659473903674e+20,1.9089837164681347e+20,5.233871724121106e+20
X,S0185a_mqs2019kxjd,S0185a_X_final_row984,final,Final best,984,0.0650162333410065,30.37213190068604,305.89316668514255,80.43828945419004,16.272557204186025,-5.162122502174325e+19,-1.7317683399410074e+20,1.4641235245096505e+19,-4.717659473903674e+20,1.9089837164681347e+20,5.233871724121106e+20
TAYAK,S0185a_mqs2019kxjd_tayak,S0185a_TAYAK_initial_row39,initial,Initial best of iter. 1,39,0.1576130178506223,13.074244939832903,188.46961236754083,44.86426035587506,103.0088650391744,-5.479028239757888e+20,-8.835939952939647e+19,1.5782216725565428e+19,-1.4131506756424677e+19,5.604257679710275e+18,5.620343307322136e+20
TAYAK,S0185a_mqs2019kxjd_tayak,S0185a_TAYAK_iter15_row634,iter15,Best by iter. 15,634,0.1046524703624471,12.971878585245902,181.10620744784936,68.77879965270684,93.88688230536184,-3.786223970884141e+20,-2.1788614421851628e+19,-4.1368514988347254e+20,-1.2306675948763267e+18,2.819976293882066e+19,3.7985306468329036e+20
TAYAK,S0185a_mqs2019kxjd_tayak,S0185a_TAYAK_iter30_row1296,iter30,Best before restart/iter. 30,1296,0.0824626130746303,19.41048809173276,185.95305664141955,30.645519060710825,124.27416034235353,-4.075679633175835e+20,-2.478352293882576e+20,2.502733641730018e+20,-2.8918736605625352e+19,1.1590694391042621e+20,4.364866999232088e+20
TAYAK,S0185a_mqs2019kxjd_tayak,S0185a_TAYAK_final_row1296,final,Final best,1296,0.0824626130746303,19.41048809173276,185.95305664141955,30.645519060710825,124.27416034235353,-4.075679633175835e+20,-2.478352293882576e+20,2.502733641730018e+20,-2.8918736605625352e+19,1.1590694391042621e+20,4.364866999232088e+20
